author,description,format,genre,month,pages,publisher,rating,title,year
Nancy Isenberg,"<b>In her groundbreaking history of the class system in America, extending from colonial times to the present, Nancy Isenberg takes on our comforting myths about equality, uncovering the crucial legacy of the ever-present, always embarrassing––if occasionally entertaining––""poor white trash.""</b>",Hardcover,History,June,460,Viking,3.74,White Trash: The 400-Year Untold History of Class in America,2016
Derek Palacio,"Derek Palacio’s stunning, mythic novel marks the arrival of a fresh voice and a new chapter in the history of 21st century Cuban-American literature.",Hardcover,Fiction,October,320,Tim Duggan Books,3.21,The Mortifications,2016
Wendy  Warren,<b>The most important work on seventeenth-century New England in a generation.</b>,Hardcover,History,June,368,Liveright                          (first published June 6th 2016,3.85,New England Bound: Slavery and Colonization in Early America,2016
Rebecca Traister,"A nuanced investigation into the sexual, economic, and emotional lives of women in America. In a provocative, groundbreaking work, National Magazine Award finalist Rebecca Traister, “the most brilliant voice on feminism in the country” (Anne Lamott), traces the history of unmarried and late-married women in America who, through social, political, and economic means, have r",Hardcover,Nonfiction,March,339,Simon  Schuster,4.05,All the Single Ladies: Unmarried Women and the Rise of an Independent Nation,2016
Jeffrey Toobin,"From New Yorker staff writer and bestselling author Jeffrey Toobin, the definitive account of the kidnapping and trial that defined an insane era in American history",Hardcover,Nonfiction,August,368,Doubleday                          (first published April 2nd 2016,3.88,"American Heiress: The Wild Saga of the Kidnapping, Crimes and Trial of Patty Hearst",2016
Nicole Y. Dennis-Benn,"Capturing the distinct rhythms of Jamaican life and dialect, Nicole Dennis-Benn pens a tender hymn to a world hidden among pristine beaches and the wide expanse of turquoise seas. At an opulent resort in Montego Bay, Margot hustles to send her younger sister, Thandi, to school. Taught as a girl to trade her sexuality for survival, Margot is ruthlessly determined to shield",Hardcover,Fiction,July,352,Liveright,3.81,Here Comes the Sun,2016
Patrick Phillips,"A gripping tale of racial cleansing in Forsyth County, Georgia, and a harrowing testament to the deep roots of racial violence in America.",Hardcover,History,September,320,W. W. Norton  Company,4.28,Blood at the Root: A Racial Cleansing in America,2016
Ethan Michaeli,"<div><b>“An extraordinary history…Deeply researched, elegantly written…a towering achievement that will not be soon forgotten.”</b> —<b>Brent Staples, <i>New York Times Book Review</i></b><br/><br/><b>NAMED ONE OF THE BEST BOOKS OF THE YEAR BY <br/><i>The New York Times Book Review • The Washington Post • Amazon</i></b><br/>  <div>Giving voice to the voiceless, the <i>Chicago Defender</i> condemned Jim Crow, catalyzed the Great Migration, and</div></div>",ebook,History,January,288,Houghton Mifflin                          (first published February 4th 2014,4.30,The Defender: How the Legendary Black Newspaper Changed America,2014
Jessi Klein,INSTANT ,Hardcover,Autobiography,July,291,Grand Central Publishing                          (first published June 7th 2016,3.81,You'll Grow Out of It,2016
Andrew Solomon,From the winner of the National Book Award and the National Books Critics’ Circle Award—and one of the most original thinkers of our time—a riveting collection of essays about places in dramatic transition.,Hardcover,Nonfiction,April,512,Scribner                          (first published April 2016,3.87,"Far & Away: Reporting from the Brink of Change: Seven Continents, Twenty-Five Years",2016
Ed Yong,"<p>Joining the ranks of popular science classics like <em>The Botany of Desire</em> and <em>The Selfish Gene,</em> a groundbreaking, wondrously informative, and vastly entertaining examination of the most significant revolution in biology since Darwin—a “microbe’s-eye view” of the world that reveals a marvelous, radically reconceived picture of life on earth.</p>",Hardcover,Science,August,368,Ecco,4.19,I Contain Multitudes: The Microbes Within Us and a Grander View of Life,2016
Adrienne Rich,"Adrienne Rich was the singular voice of her generation and one of our most important American poets. She brought discussions of gender, race, and class to the forefront of poetical discourse, pushing formal boundaries and consistently examining both self and society.",Hardcover,Poetry,June,1164,W. W. Norton  Company                          (first published March 28th 2016,4.55,Collected Poems: 1950–2012,2016
Mitchell Duneier,"<b>A five-hundred-year story of exclusion and containment, from the first Jewish ghetto to the present</b>",Hardcover,History,April,304,"Farrar, Straus and Giroux                          (first published December 1st 2015",3.73,"Ghetto: The Invention of a Place, the History of an Idea",2015
Joseph Lelyveld,<b>A <i>New York Times </i>2016 Notable Book</b>,Kindle Edition,History,September,417,Knopf,4.04,His Final Battle: The Last Months of Franklin Roosevelt,2016
Boris Fishman,"The author of the critically admired, award-winning ",Hardcover,Fiction,March,336,Harper,2.92,Don't Let My Baby Do Rodeo,2016
Magda Szabó,"When Ettie's husband dies, her daughter Iza insists that her mother give up the family house in the countryside and move to Budapest. Displaced from her community and her home, Ettie tries to find her place in this new life, but can't seem to get it right. She irritates the maid, hangs food outside the window because she mistrusts the fridge and, in her naivety and lonelin",Kindle Edition,Fiction,August,336,Vintage Digital                          (first published 1963,4.16,Iza's Ballad,1963
Robert Tombs,In ,Hardcover,History,November,1024,Allen Lane,4.24,The English and their History,2014
Solmaz Sharif,<p>*Finalist for the 2017 PEN Open Book Award*<br/>*Finalist for the 2016 National Book Award*</p>,Paperback,Poetry,July,98,Graywolf Press,4.29,Look,2016
Alexander Weinstein,<b>AN EXTRAORDINARILY RESONANT AND PROPHETIC COLLECTION OF SPECULATIVE SHORT FICTION FOR OUR TECH-</b>,ebook,Short Stories,September,229,Picador,3.81,Children of the New World,2016
Edna O'Brien,"<b>The much-anticipated new novel from the literary world's master of storytelling, Edna O'Brien.</b>",Hardcover,Fiction,March,299,Little Brown and Company                          (first published October 27th 2015,3.26,The Little Red Chairs,2015
Michael V. Hayden,"<b>An unprecedented high-level master narrative of America's intelligence wars, from the only person ever to helm both CIA and NSA, at a time of heinous new threats and wrenching change</b>",Hardcover,Nonfiction,February,464,Penguin Press,3.79,Playing to the Edge: American Intelligence in the Age of Terror,2016
Joy Williams,"Pulitzer Prize and National Book Award finalist Joy Williams has a one-of-a-kind gift for capturing both the absurdity and the darkness of everyday life. In Ninety-Nine Stories of God, she takes on one of mankind's most confounding preoccupations: the Supreme Being.This series of short, fictional vignettes explores our day-to-day interactions with an ever-elusive and arbit",Audio CD,Short Stories,July,1,Blackstone Audiobooks                          (first published April 22nd 2013,3.63,Ninety-Nine Stories of God,2013
Sarah Bakewell,"Paris, near the turn of 1933. Three young friends meet over apricot cocktails at the Bec-de-Gaz bar on the rue Montparnasse. They are Jean-Paul Sartre, Simone de Beauvoir and their friend Raymond Aron, who opens their eyes to a radical new way of thinking. Pointing to his drink, he says, 'You can make philosophy out of ",Hardcover,Philosophy,March,440,Chatto & Windus                          (first published March 2016,4.22,"At the Existentialist Café: Freedom, Being, and Apricot Cocktails",2016
Arlie Russell Hochschild,In ,Hardcover,Nonfiction,August,261,New Press,4.11,Strangers in Their Own Land: Anger and Mourning on the American Right,2016
Susan Faludi,"<b>From the Pulitzer Prize-winning journalist and bestselling author of <i>Backlash</i>, comes <i>In the Darkroom</i>, an astonishing confrontation with the enigma of her father and the larger riddle of identity consuming our age.</b>",Hardcover,Nonfiction,June,432,Metropolitan Books,3.91,In the Darkroom,2016
Peter Ho Davies,"<b>From the author of <i>The Welsh Girl</i> comes a groundbreaking, provocative new novel.</b>",Hardcover,Fiction,September,288,Houghton Mifflin Harcourt,3.65,The Fortunes,2016
Jonathan Lethem,"Handsome, impeccably tuxedoed Bruno Alexander travels the world winning large sums of money from amateur ""whales"" who think they can challenge his peerless acumen at backgammon. Fronted by his pasty, vampiric manager, Edgar Falk, Bruno arrives in Berlin after a troubling run of bad luck in Singapore. Perhaps it was the chance encounter with his crass childhood acquaintance",Hardcover,Fiction,October,304,Doubleday Books,3.18,A Gambler's Anatomy,2016
Robert F. Worth,<b>The definitive work of literary journalism on the Arab Spring and its troubled aftermath</b>,Paperback,Nonfiction,April,272,"Farrar, Straus and Giroux                          (first published March 22nd 2016",4.25,"A Rage for Order: The Middle East in Turmoil, from Tahrir Square to ISIS",2016
Lara Vapnyar,"<b>A profound and dazzlingly entertaining novel from the writer Louis Menand calls ""Jane Austen with a Russian soul""</b>",Hardcover,Fiction,August,308,Hogarth,3.40,Still Here,2016
Stefan Hertmans,"Shortly before his death in 1981, Stefan Hertmans' grandfather gave him a couple of filled exercise books. Stories he’d heard as a child had led Hertmans to suspect that their contents might be disturbing, and for years he didn’t dare to open them.",Paperback,Fiction,July,304,Text Publishing                           (first published September 2nd 2013,3.90,War and Turpentine,2013
Matti Friedman,"<b>“Matti Friedman’s haunting war memoir reminds one of Michael Herr’s unforgettable Vietnam memoir, <i>Dispatches.</i> It, too, is destined to become a classic text on the absurdities of war. Evocative, emotionally wrenching, and yet clear-eyed and dispassionate, <i>Pumpkinflowers</i> is a stunning achievement.” —Kai Bird, Pulitzer Prize–winning biographer and <i>New York Times</i> bestselling a</b>",Hardcover,Nonfiction,May,256,Algonquin Books,4.01,Pumpkinflowers: A Soldier's Story of a Forgotten War,2016
Maria Semple,"<strong>A genius novel from the author of <i>Where'd You Go, Bernadette</i>, about a day in the life of Eleanor Flood, forced to abandon her small ambitions when she awakes to a strange, new future unfolding. </strong>",Hardcover,Fiction,October,259,"Little, Brown and Company",3.19,Today Will Be Different,2016
Beth Macy,"The true story of two African-American brothers who were kidnapped and displayed as circus freaks, and whose mother endured a 28-year struggle to get them back.",Hardcover,Nonfiction,October,420,"Little, Brown and Company",3.47,"Truevine: Two Brothers, a Kidnapping, and a Mother's Quest: A True Story of the Jim Crow South",2016
Stephen King,"The spectacular finale to the New York Times bestselling trilogy that began with Mr. Mercedes (winner of the Edgar Award) and Finders Keepers—In End of Watch, the diabolical “Mercedes Killer” drives his enemies to suicide, and if Bill Hodges and Holly Gibney don’t figure out a way to stop him, they’ll be victims themselves.",Hardcover,Horror,June,432,Scribner,4.09,End of Watch,2016
Adam Kirsch,"Jews have long embraced their identity as “the people of the book.” But outside of the Bible, much of the Jewish literary tradition remains little known to nonspecialist readers. ",Hardcover,Literature,October,432,W. W. Norton  Company,4.21,The People and the Books: 18 Classics of Jewish Literature,2016
Adam Kirsch,"Jews have long embraced their identity as “the people of the book.” But outside of the Bible, much of the Jewish literary tradition remains little known to nonspecialist readers. ",Hardcover,Literature,October,432,W. W. Norton  Company,4.21,The People and the Books: 18 Classics of Jewish Literature,2016
Louise Doughty,From the author of ,Hardcover,Fiction,September,352,Sarah Crichton Books                          (first published June 2nd 2016,3.45,Black Water,2016
Rosa Brooks,The first serious book to examine what happens when the ancient boundary between war and peace is erased.,Hardcover,Nonfiction,August,448,Simon  Schuster,3.98,How Everything Became War and the Military Became Everything: Tales from the Pentagon,2016
Peter Fritzsche,"World War II reached into the homes and lives of ordinary people in an unprecedented way. Civilians made up the vast majority of those killed by war. On Europe’s home front, the war brought the German blitzkrieg, followed by long occupations and the racial genocide of the Holocaust. ",Hardcover,History,October,376,Basic Books,3.83,An Iron Wind: Europe Under Hitler,2016
Melanie Finn,"Pilgrim's husband left her for another woman, stranding her in a Swiss town where she is involved in an accident that leaves three children dead. Cleared of responsibility though overcome with guilt, she absconds to Africa, befriending a series of locals each with their own tragic past.",Paperback,Fiction,September,308,Two Dollar Radio                          (first published March 12th 2014,3.80,The Gloaming,2014
Heather Ann Thompson,"<i>The first definitive account of the infamous 1971 Attica prison uprising, the state’s violent response, and the victims' decades-long quest for justice including information never released to the public published to coincide with the forty-fifth anniversary of this historic event.</i>",Hardcover,History,August,752,Pantheon Books,4.43,Blood in the Water: The Attica Prison Uprising of 1971 and Its Legacy,2016
Ishion Hutchinson,"<b>A stunning collection that traverses the borders of culture and time, from the 2011 winner of the PEN/Joyce Osterweil Award</b>",Hardcover,Poetry,September,96,"Farrar, Straus and Giroux",3.76,House of Lords and Commons: Poems,2016
David Constantine,"The long anticipated novel from the author of the short story 'In Another Country', which inspired the Oscar/Academy Award nominated film, #45Years. ",Kindle Edition,Fiction,August,190,Comma Press,3.55,The Life-Writer,2015
Martin Seay,"The core story is set in Venice in the sixteenth century, when the famed makers of Venetian glass were perfecting one of the old world's most wondrous inventions: the mirror. An object of glittering yet fearful fascination—was it reflecting simple reality, or something more spiritually revealing?—the Venetian mirrors were state of the art technology and subject to industri",Hardcover,Fiction,May,582,Melville House Publishing,3.02,The Mirror Thief,2016
Dan Fox,<i>Pretentiousness </i>,Paperback,Nonfiction,April,144,Coffee House Press                          (first published February 10th 2016,3.73,Pretentiousness: Why It Matters,2016
Daniel Bergner,"<strong>The touching, triumphant story of a young black man's journey from violence and despair to one of the world's most elite artistic institutions, as if <i>The Blind Side</i> were set in the world of opera. </strong>",Hardcover,Nonfiction,September,320,Lee Boudreaux Books,3.89,"Sing for Your Life: A Story of Race, Music, and Family",2016
Lauren Collins,"A language barrier is no match for love. Lauren Collins discovered this firsthand when, in her early thirties, she moved to London and fell for a Frenchman named Olivier—a surprising turn of events for someone who didn’t have a passport until she was in college. But what does it mean to love someone in a second language? Collins wonders, as her relationship with Olivier co",Hardcover,Autobiography,September,256,Penguin Press,3.53,When in French: Love in a Second Language,2016
Steve Fraser,"No political metaphor in recent American history has enjoyed the impact of the limousine liberal. Taking aim at what many consider the hypocrisy of wealthy liberals who champion the cause of the poor but who have no intention of bearing the costs of doing anything about their plight, it has mobilized an enduring politics of resentment against everything from civil rights t",ebook,Politics,May,304,Basic Books,3.13,The Limousine Liberal: How an Incendiary Image United the Right and Fractured America,2016
Sebastian Mallaby,<b>The definitive biography of the most important economic statesman of our time</b>,Hardcover,Economics,October,800,Penguin Press,4.32,The Man Who Knew: The Life and Times of Alan Greenspan,2016
Jenny Diski,"<i>The future flashed before my eyes in all its pre-ordained banality. Embarrassment, at first, to the exclusion of all other feelings. But embarrassment curled at the edges with a weariness …</i>",Hardcover,Autobiography,May,256,Bloomsbury USA                          (first published April 21st 2016,3.74,In Gratitude,2016
Sabina Murray,"<b>Following her <i>New York Times</i> Editor’s Choice collection of short stories <i>Tales of the New World</i>, historical fiction master Sabina Murray returns with an epic and bold novel of friendship and betrayal set across four continents and a 40-year time span</b>",Hardcover,Fiction,November,489,Grove Press,3.83,Valiant Gentlemen,2016
Lucy Wood,"<i>An alternative cover edition for this ISBN can be found <a href=""https://www.goodreads.com/book/show/25970641-weathering"" rel=""nofollow"">here</a></i>",Hardcover,Fiction,January,320,Bloomsbury Publishing,3.67,Weathering,2015
Robert J. Gordon,"In the century after the Civil War, an economic revolution improved the American standard of living in ways previously unimaginable. Electric lighting, indoor plumbing, motor vehicles, air travel, and television transformed households and workplaces. But has that era of unprecedented growth come to an end? Weaving together a vivid narrative, historical anecdotes, and econo",Hardcover,Economics,January,784,Princeton University Press,4.15,The Rise and Fall of American Growth: The U.S. Standard of Living Since the Civil War,2016
Simon Callow,"<b>The third volume of Simon Callow’s acclaimed Orson Welles biography, covering the period of his exile from America (1947<b>–</b>1964), when he produced some of his greatest works, including <i>Touch of Evil</i></b>",Hardcover,Biography,April,496,Viking                          (first published November 5th 2015,4.44,"Orson Welles, Vol. 3: One-Man Band",2015
Simon Callow,"<b>The third volume of Simon Callow’s acclaimed Orson Welles biography, covering the period of his exile from America (1947<b>–</b>1964), when he produced some of his greatest works, including <i>Touch of Evil</i></b>",Hardcover,Biography,April,496,Viking                          (first published November 5th 2015,4.44,"Orson Welles, Vol. 3: One-Man Band",2015
