Author,Description,Genre,Publisher,Title
George RR Martin,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",combined-print-and-e-book-fiction,Bantam,FIRE AND BLOOD
Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",combined-print-and-e-book-fiction,Putnam,WHERE THE CRAWDADS SING
James Patterson,Alex Cross returns for the 26th book in the series bearing his name.,combined-print-and-e-book-fiction,"Little, Brown",TARGET: ALEX CROSS
W Bruce Cameron,A dog sets out across 400 miles of wilderness to find the man who rescued her as a puppy.,combined-print-and-e-book-fiction,Forge,A DOG'S WAY HOME
Lee Child,Jack Reacher explores the New England town where his father was born and a Canadian couple now find themselves stranded.,combined-print-and-e-book-fiction,Delacorte,PAST TENSE
Heather Morris,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.,combined-print-and-e-book-fiction,Harper,THE TATTOOIST OF AUSCHWITZ
David Baldacci,"Atlee Pine, an F.B.I. agent who is haunted by the childhood kidnapping of her twin sister, must choose between protecting her career or the United States' democracy.",combined-print-and-e-book-fiction,Grand Central Publishing,LONG ROAD TO MERCY
Liane Moriarty,A romance writer becomes fascinated by the owner and director of a health resort.,combined-print-and-e-book-fiction,Flatiron,NINE PERFECT STRANGERS
Mitch Albom,"The sequel to ""The Five People You Meet in Heaven"" follows Annie on her heavenly journey.",combined-print-and-e-book-fiction,Harper,THE NEXT PERSON YOU MEET IN HEAVEN
Fern Michaels,Isabelle Flanders Tookus calls on a group of women known as the Sisterhood to save a millionaire's genius grandson.,combined-print-and-e-book-fiction,Zebra,SAFE AND SOUND
Rupi Kaur,Poetic approaches to surviving adversity and loss.,combined-print-and-e-book-fiction,Andrews McMeel,MILK AND HONEY
Stephen King,A man who is losing weight without getting thinner forms an unlikely alliance with his neighbors who are dealing with prejudices.,combined-print-and-e-book-fiction,Scribner,ELEVATION
Marc Cameron,"President Jack Ryan must contain the fallout of a flu epidemic, an undermining senator and two hijacked Russian nuclear missiles.",combined-print-and-e-book-fiction,Putnam,TOM CLANCY: OATH OF OFFICE
Michelle Obama,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",combined-print-and-e-book-nonfiction,Crown,BECOMING
"Charles Krauthammer,","A collection of essays, speeches and unpublished writings by the late conservative columnist.",combined-print-and-e-book-nonfiction,Crown Forum,THE POINT OF IT ALL
Tara Westover,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",combined-print-and-e-book-nonfiction,Random House,EDUCATED
Bill O'Reilly and Martin Dugard,A look at the postwar manhunt for members of Hitler’s inner circle.,combined-print-and-e-book-nonfiction,Holt,KILLING THE SS
Yuval Noah Harari,How Homo sapiens became Earth’s dominant species.,combined-print-and-e-book-nonfiction,Harper,SAPIENS
Pete Souza,"The former White House photographer juxtaposes pictures of former President Obama with tweets, headlines and quotes from the Trump administration.",combined-print-and-e-book-nonfiction,"Little, Brown",SHADE
Doris Kearns Goodwin,"The challenges that shaped the leadership abilities of four presidents: Abraham Lincoln, Theodore Roosevelt, Franklin D. Roosevelt and Lyndon B. Johnson.",combined-print-and-e-book-nonfiction,Simon & Schuster,LEADERSHIP
Andrew Roberts,A biography focusing on what motivated the war leader and how he learned from his mistakes.,combined-print-and-e-book-nonfiction,Viking,CHURCHILL: WALKING WITH DESTINY
Stephen Hawking,A collection of essays from the late scientist’s personal archive that address 10 imponderables.,combined-print-and-e-book-nonfiction,Bantam,BRIEF ANSWERS TO THE BIG QUESTIONS
Michael Diamond and Adam Horovitz,The story of the New York band who achieved hip hop stardom.,combined-print-and-e-book-nonfiction,Spiegel & Grau,BEASTIE BOYS BOOK
Bob Woodward,"Based on hours of interviews with sources, the Pulitzer Prize-winning journalist describes debates and decision-making within the Trump White House.",combined-print-and-e-book-nonfiction,Simon & Schuster,FEAR
Tucker Carlson,The Fox News anchor argues that America’s ruling class is out of touch with everyday citizens.,combined-print-and-e-book-nonfiction,Free Press,SHIP OF FOOLS
Michael Lewis,"The author of ""The Big Short"" examines how the Trump administration staffs its federal agencies.",combined-print-and-e-book-nonfiction,Norton,THE FIFTH RISK
Pete Souza,"More than 300 pictures of the former president by his White House photographer, with behind-the-scenes stories.",combined-print-and-e-book-nonfiction,"Little, Brown",OBAMA
John Carreyrou,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient.",combined-print-and-e-book-nonfiction,Knopf,BAD BLOOD
John Grisham,A decorated World War II veteran shoots and kills a pastor.,hardcover-fiction,Doubleday,THE RECKONING
George RR Martin,The first volume of the two-part history of the Targaryens in Westeros.,hardcover-fiction,Bantam,FIRE AND BLOOD
Nicholas Sparks,Difficult choices surface when Hope Anderson and Tru Walls meet in a North Carolina seaside town.,hardcover-fiction,Grand Central,EVERY BREATH
James Patterson,Alex Cross returns for the 26th book in the series bearing his name.,hardcover-fiction,"Little, Brown",TARGET: ALEX CROSS
Delia Owens,A woman who survived alone in the marsh becomes a murder suspect.,hardcover-fiction,Putnam,WHERE THE CRAWDADS SING
Mitch Albom,"The sequel to ""The Five People You Meet in Heaven"" follows Annie on her heavenly journey.",hardcover-fiction,Harper,THE NEXT PERSON YOU MEET IN HEAVEN
Stephen King,A man who is losing weight without getting thinner forms an unlikely alliance with his neighbors who are dealing with prejudices.,hardcover-fiction,Scribner,ELEVATION
Lee Child,Jack Reacher explores the New England town where his father was born.,hardcover-fiction,Delacorte,PAST TENSE
David Baldacci,The F.B.I. agent Atlee Pine must choose between protecting her career or the United States' democracy.,hardcover-fiction,Grand Central,LONG ROAD TO MERCY
Liane Moriarty,A romance writer becomes fascinated by the owner and director of a health resort.,hardcover-fiction,Flatiron,NINE PERFECT STRANGERS
Marc Cameron,President Jack Ryan must contain the fallout of a flu epidemic and two hijacked Russian nuclear missiles.,hardcover-fiction,Putnam,TOM CLANCY: OATH OF OFFICE
Janet Evanovich,The 25th book in the Stephanie Plum series.,hardcover-fiction,Putnam,LOOK ALIVE TWENTY-FIVE
Stephen King,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,hardcover-fiction,Scribner,THE OUTSIDER
Louise Penny,"While on suspension, Chief Inspector Armand Gamache is made an executor of a stranger’s will and tries to keep a deadly narcotic off Montreal’s streets.",hardcover-fiction,Minotaur,KINGDOM OF THE BLIND
Bill Clinton and James Patterson,President Jonathan Duncan takes on adversaries at home and abroad.,hardcover-fiction,"Little, Brown and Knopf",THE PRESIDENT IS MISSING
Michelle Obama,"The former first lady describes how she balanced work, family and her husband’s political ascent.",hardcover-nonfiction,Crown,BECOMING
"Charles Krauthammer,","A collection of essays, speeches and unpublished writings by the late conservative columnist.",hardcover-nonfiction,Crown Forum,THE POINT OF IT ALL
Tara Westover,The daughter of survivalists leaves home for university.,hardcover-nonfiction,Random House,EDUCATED
Bill O'Reilly and Martin Dugard,A look at the postwar manhunt for members of Hitler’s inner circle.,hardcover-nonfiction,Holt,KILLING THE SS
Pete Souza,"Pictures of former President Obama are juxtaposed with tweets, headlines and quotes from the Trump administration.",hardcover-nonfiction,"Little, Brown",SHADE
Doris Kearns Goodwin,The challenges that shaped the leadership abilities of four presidents.,hardcover-nonfiction,Simon & Schuster,LEADERSHIP
Andrew Roberts,A biography focusing on what motivated the war leader and how he learned from his mistakes.,hardcover-nonfiction,Viking,CHURCHILL: WALKING WITH DESTINY
Stephen Hawking,A collection of essays from the late scientist’s personal archive that address 10 imponderables.,hardcover-nonfiction,Bantam,BRIEF ANSWERS TO THE BIG QUESTIONS
Michael Diamond and Adam Horovitz,The story of the New York band who achieved hip hop stardom.,hardcover-nonfiction,Spiegel & Grau,BEASTIE BOYS BOOK
Tucker Carlson,The Fox News anchor argues that America’s ruling class is out of touch with everyday citizens.,hardcover-nonfiction,Free Press,SHIP OF FOOLS
Bob Woodward,Debates and decision-making within the Trump White House.,hardcover-nonfiction,Simon & Schuster,FEAR
Michael Lewis,How the Trump administration staffs its federal agencies.,hardcover-nonfiction,Norton,THE FIFTH RISK
Pete Souza,"More than 300 pictures of the former president by his White House photographer, with behind-the-scenes stories.",hardcover-nonfiction,"Little, Brown",OBAMA
Neil deGrasse Tyson,"A straightforward, easy-to-understand introduction to the universe.",hardcover-nonfiction,Norton,ASTROPHYSICS FOR PEOPLE IN A HURRY
Kobe Bryant,The former Los Angeles Lakers player describes various skills and techniques he used.,hardcover-nonfiction,"Melcher/MCD/Farrar, Straus & Giroux",THE MAMBA MENTALITY
Heather Morris,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.,trade-fiction-paperback,Harper,THE TATTOOIST OF AUSCHWITZ
W Bruce Cameron,A dog sets out across 400 miles of wilderness to find the man who rescued her as a puppy.,trade-fiction-paperback,Forge,A DOG'S WAY HOME
Rupi Kaur,"A collection of poetry about love, loss, trauma and healing.",trade-fiction-paperback,Andrews McMeel,MILK AND HONEY
Kevin Kwan,A New Yorker gets a surprise when she spends the summer with her boyfriend in Singapore.,trade-fiction-paperback,Anchor,CRAZY RICH ASIANS
Gail Honeyman,A young woman’s well-ordered life is disrupted by the I.T. guy from her office.,trade-fiction-paperback,Penguin,ELEANOR OLIPHANT IS COMPLETELY FINE
Rupi Kaur,"A second collection of poetry from the author of ""Milk and Honey.""",trade-fiction-paperback,Andrews McMeel,THE SUN AND HER FLOWERS
Josie Silver,A woman spends a year searching for a man in London she believes — after a single glance — is her true love.,trade-fiction-paperback,Broadway,ONE DAY IN DECEMBER
Anthony Doerr,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,trade-fiction-paperback,Scribner,ALL THE LIGHT WE CANNOT SEE
Kristin Hannah,"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance.",trade-fiction-paperback,St. Martin's Griffin,THE NIGHTINGALE
Andrew Sean Greer,"Winner of the 2018 Pulitzer Prize in fiction. To avoid an ex-boyfriend's wedding, a failed novelist attends literary events around the world.",trade-fiction-paperback,Back Bay,LESS
Kevin Kwan,"The second book in the Crazy Rich Asians trilogy. As her wedding draws near, Rachel Chu discovers her birth father.",trade-fiction-paperback,Anchor,CHINA RICH GIRLFRIEND
Kate Quinn,A pregnant American college student and a French spy join together on a mission in London in 1947.,trade-fiction-paperback,Morrow,THE ALICE NETWORK
Ruth Ware,"A travel writer on a cruise is certain she has heard a body thrown overboard, but no one believes her.",trade-fiction-paperback,Scout,THE WOMAN IN CABIN 10
Min Jin Lee,"In the early 20th century, a Korean fisherman's daughter has a wealthy stranger's child, marries a pastor and moves to Japan.",trade-fiction-paperback,Grand Central,PACHINKO
Greer Hendricks and Sarah Pekkanen,The story of a love triangle is told from several points of view.,trade-fiction-paperback,St. Martin's,THE WIFE BETWEEN US
Yuval Noah Harari,How Homo sapiens became Earth’s dominant species.,paperback-nonfiction,Harper Perennial,SAPIENS
David Grann,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil. The fledgling F.B.I. intervened, ineffectively.",paperback-nonfiction,Vintage,KILLERS OF THE FLOWER MOON
John Grisham,Grisham's first nonfiction book concerns a man wrongly sentenced to death.,paperback-nonfiction,Bantam/Dell,THE INNOCENT MAN
Ruth Bader Ginsburg with Mary Hartnett and Wendy W Williams,A collection of articles and speeches by the Supreme Court justice.,paperback-nonfiction,Simon & Schuster,MY OWN WORDS
Phil Knight,"A memoir by the co-founder of Nike, Inc.",paperback-nonfiction,Scribner,SHOE DOG
Ron Chernow,A biography of the first Treasury secretary and one of the Founding Fathers of the United States. Originally published in 2004 and the basis of the Tony Award-winning Broadway musical.,paperback-nonfiction,Penguin,ALEXANDER HAMILTON
Brian Kilmeade and Don Yaeger,Major General Jackson takes on the British in Louisiana.,paperback-nonfiction,Sentinel,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS
Bryan Stevenson,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,paperback-nonfiction,Spiegel & Grau,JUST MERCY
Daniel Kahneman,When we can and cannot trust our intuitions in making business and personal decisions.,paperback-nonfiction,"Farrar, Straus & Giroux","THINKING, FAST AND SLOW"
Angela Duckworth,The MacArthur Fellow argues that passion and perseverance are more important than innate talent in creating success.,paperback-nonfiction,Scribner,GRIT
Robin DiAngelo,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.,paperback-nonfiction,Beacon Press,WHITE FRAGILITY
Bessel van der Kolk,"How trauma affects the body and mind, and innovative treatments for recovery.",paperback-nonfiction,Penguin,THE BODY KEEPS THE SCORE
Erik Larson,A story of how an architect and a serial killer were linked by the Chicago World's Fair of 1893. Originally published in 2003.,paperback-nonfiction,Vintage,THE DEVIL IN THE WHITE CITY
Yuval Noah Harari,A provocative look into the future by the author of “Sapiens.”,paperback-nonfiction,Harper Perennial,HOMO DEUS
David Sheff,A father struggles with his son's meth addiction.,paperback-nonfiction,Mariner,BEAUTIFUL BOY
