,author,date,description,format,genre,pages,publisher,rating,title,url
10,Jacqueline Woodson,['August 9th 2016'],"Running into a long-ago friend sets memories from the 1970s in motion for August, transporting her to a time and a place where friendship was everythinguntil it wasnt. For August and her girls, sharing confidences as they ambled through neighborhood streets, Brooklyn was a place where they believed that they were beautiful, talented, brillianta part of a future that
Running into a long-ago friend sets memories from the 1970s in motion for August, transporting her to a time and a place where friendship was everything—until it wasn’t. For August and her girls, sharing confidences as they ambled through neighborhood streets, Brooklyn was a place where they believed that they were beautiful, talented, brilliant—a part of a future that belonged to them.But beneath the hopeful veneer, there was another Brooklyn, a dangerous place where grown men reached for innocent girls in dark hallways, where ghosts haunted the night, where mothers disappeared. A world where madness was just a sunset away and fathers found hope in religion.",Hardcover,Fiction,177,['by Amistad'],3.86,Another Brooklyn,https://www.goodreads.com/book/show/27213163-another-brooklyn?from_choice=true
11,Jonathan Safran Foer,['September 6th 2016'],"A monumental new novel from the bestselling author of Everything Is Illuminated and Extremely Loud and Incredibly Close  In the book of Genesis, when God calls out, Abraham! to order him to sacrifice his son Isaac, Abraham responds, Here I am. Later, when Isaac calls out, My father! to ask him why there is no animal to slaughter, Abraham responds, Here I am.How do we
A monumental new novel from the bestselling author of Everything Is Illuminated and Extremely Loud and Incredibly Close  In the book of Genesis, when God calls out, “Abraham!” to order him to sacrifice his son Isaac, Abraham responds, “Here I am.” Later, when Isaac calls out, “My father!” to ask him why there is no animal to slaughter, Abraham responds, “Here I am.”How do we fulfill our conflicting duties as father, husband, and son; wife and mother; child and adult? Jew and American? How can we claim our own identities when our lives are linked so closely to others’? These are the questions at the heart of Jonathan Safran Foer’s first novel in eleven years--a work of extraordinary scope and heartbreaking intimacy.Unfolding over four tumultuous weeks, in present-day Washington, D.C., Here I Am is the story of a fracturing family in a moment of crisis. As Jacob and Julia and their three sons are forced to confront the distances between the lives they think they want and the lives they are living, a catastrophic earthquake sets in motion a quickly escalating conflict in the Middle East. At stake is the very meaning of home--and the fundamental question of how much life one can bear.Showcasing the same high-energy inventiveness, hilarious irreverence, and emotional urgency that readers and critics loved in his earlier work, Here I Am is Foer’s most searching, hard-hitting, and grandly entertaining novel yet. It not only confirms Foer’s stature as a dazzling literary talent but reveals a mature novelist who has fully come into his own as one of the most important writers of his generation.",Hardcover,Fiction,592,"['by Farrar, Straus and Giroux']",3.64,Here I Am,https://www.goodreads.com/book/show/28116847-here-i-am?from_choice=true
12,Richard Russo,['May 3rd 2016'],"Richard Russo, at the very top of his game, now returns to North Bath, in upstate New York, and the characters from Nobody's Fool (1993).The irresistible Sully, who in the intervening years has come by some unexpected good fortune, is staring down a VA cardiologist's estimate that he has only a year or two left, and it's hard work trying to keep this news from the most
Richard Russo, at the very top of his game, now returns to North Bath, in upstate New York, and the characters from Nobody's Fool (1993).The irresistible Sully, who in the intervening years has come by some unexpected good fortune, is staring down a VA cardiologist's estimate that he has only a year or two left, and it's hard work trying to keep this news from the most important people in his life: Ruth, the married woman he carried on with for years ... the ultra-hapless Rub Squeers, who worries that he and Sully aren't still best friends ... Sully's son and grandson, for whom he was mostly an absentee figure (and now a regretful one). We also enjoy the company of Doug Raymer, the chief of police who's obsessing primarily over the identity of the man his wife might've been about to run off with, before dying in a freak accident ... Bath's mayor, the former academic Gus Moynihan, whose wife problems are, if anything, even more pressing ... and then there's Carl Roebuck, whose lifelong run of failing upward might now come to ruin. And finally, there's Charice Bond - a light at the end of the tunnel that is Chief Raymer's office - as well as her brother, Jerome, who might well be the train barreling into the station. Everybody's Fool is filled with humor, heart, hard times and people you can't help but love, possibly because their various faults make them so stridently human.",Hardcover,Fiction,477,['by Knopf'],4.08,Everybody's Fool,https://www.goodreads.com/book/show/27068575-everybody-s-fool?from_choice=true
13,Nathan  Hill,['August 30th 2016'],"A hilarious and deeply touching debut novel about a son, the mother who left him as a child, and how his search to uncover the secrets of her life leads him to reclaim his own.Meet Samuel Andresen-Anderson: stalled writer, bored teacher at a local college, obsessive player of an online video game. He hasn't seen his mother, Faye, since she walked out when he was a child.
A hilarious and deeply touching debut novel about a son, the mother who left him as a child, and how his search to uncover the secrets of her life leads him to reclaim his own.Meet Samuel Andresen-Anderson: stalled writer, bored teacher at a local college, obsessive player of an online video game. He hasn't seen his mother, Faye, since she walked out when he was a child. But then one day there she is, all over the news, throwing rocks at a presidential candidate. The media paints Faye as a militant radical with a sordid past, but as far as Samuel knows, his mother never left her small Iowa town. Which version of his mother is the true one? Determined to solve the puzzle--and finally have something to deliver to his publisher--Samuel decides to capitalize on his mother's new fame by writing a tell-all biography, a book that will savage her intimately, publicly. But first, he has to locate her; and second, to talk to her without bursting into tears. As Samuel begins to excavate her history, the story moves from the rural Midwest of the 1960s to New York City during the Great Recession and Occupy Wall Street to the infamous riots at the 1968 Chicago Democratic National Convention, and finally to Norway, home of the mysterious Nix that his mother told him about as a child. And in these places, Samuel will unexpectedly find that he has to rethink everything he ever knew about his mother--a woman with an epic story of her own, a story she kept hidden from the world.",Hardcover,Fiction,640,['by Knopf'],4.09,The Nix,https://www.goodreads.com/book/show/28251002-the-nix?from_choice=true
14,Jung Yun,"['March 15th 2016', 'March 1st 2016)']","Why should a man care for his parents when they failed to take care of him as a child?Kyung Cho is a young father burdened by a house he cant afford. For years, he and his wife, Gillian, have lived beyond their means. Now their debts and bad decisions are catching up with them, and Kyung is anxious for his familys future.A few miles away, his parents, Jin and Mae, live in
Why should a man care for his parents when they failed to take care of him as a child?Kyung Cho is a young father burdened by a house he can’t afford. For years, he and his wife, Gillian, have lived beyond their means. Now their debts and bad decisions are catching up with them, and Kyung is anxious for his family’s future.A few miles away, his parents, Jin and Mae, live in the town’s most exclusive neighborhood, surrounded by the material comforts that Kyung desires for his wife and son. Growing up, they gave him every possible advantage—private tutors, expensive hobbies—but they never showed him kindness. Kyung can hardly bear to see them now, much less ask for their help. Yet when an act of violence leaves Jin and Mae unable to live on their own, the dynamic suddenly changes, and he’s compelled to take them in. For the first time in years, the Chos find themselves living under the same roof. Tensions quickly mount as Kyung’s proximity to his parents forces old feelings of guilt and anger to the surface, along with a terrible and persistent question: how can he ever be a good husband, father, and son when he never knew affection as a child?As Shelter veers swiftly toward its startling conclusion, Jung Yun leads us through dark and violent territory, where, unexpectedly, the Chos discover hope. Shelter is a masterfully crafted debut novel that asks what it means to provide for one's family and, in answer, delivers a story as riveting as it is profound.",Hardcover,Fiction,326,['by Picador'],3.73,Shelter,https://www.goodreads.com/book/show/25688974-shelter?from_choice=true
15,Karan Mahajan,['March 22nd 2016'],"FINALIST FOR THE NATIONAL BOOK AWARD 2016When brothers Tushar and Nakul Khurana, two Delhi schoolboys, go to pick up their familys television set at a repair shop with their friend Mansoor Ahmed one day in 1996, disaster strikes without warning. A bombone of the many small bombs that go off seemingly unheralded across the worlddetonates in the Delhi marketplace, instantly
FINALIST FOR THE NATIONAL BOOK AWARD 2016When brothers Tushar and Nakul Khurana, two Delhi schoolboys, go to pick up their family’s television set at a repair shop with their friend Mansoor Ahmed one day in 1996, disaster strikes without warning. A bomb—one of the many “small” bombs that go off seemingly unheralded across the world—detonates in the Delhi marketplace, instantly claiming the lives of the Khurana boys to the devastation of their parents. Mansoor survives, bearing the physical and psychological effects of the bomb. After a brief stint at university in America, Mansoor returns to Delhi, where his life becomes entangled with the mysterious and charismatic Ayub, a fearless young activist whose own allegiances and beliefs are more malleable than Mansoor could imagine. Woven among the story of the Khuranas and the Ahmeds is the tale of Shockie, a Kashmiri bomb maker who has forsaken his own life for the independence of his homeland.",Hardcover,Fiction,288,['by Viking'],3.57,The Association of Small Bombs,https://www.goodreads.com/book/show/25810398-the-association-of-small-bombs?from_choice=true
16,Ian McEwan,"['September 13th 2016', 'September 2016)']","Nutshell is a classic story of murder and deceit, told by a narrator with a perspective and voice unlike any in recent literature. A bravura performance, it is the finest recent work from a true master.To be bound in a nutshell, see the world in two inches of ivory, in a grain of sand. Why not, when all of literature, all of art, of human endeavour, is just a speck in the
Nutshell is a classic story of murder and deceit, told by a narrator with a perspective and voice unlike any in recent literature. A bravura performance, it is the finest recent work from a true master.To be bound in a nutshell, see the world in two inches of ivory, in a grain of sand. Why not, when all of literature, all of art, of human endeavour, is just a speck in the universe of possible things.",Hardcover,Fiction,208,['by Nan A. Talese'],3.67,Nutshell,https://www.goodreads.com/book/show/30008702-nutshell?from_choice=true
17,Bette Lee Crosby,['September 14th 2016'],"On the day Jennifer Green was born a pile of stones was placed alongside her scale of life. A few were the dark gray of sorrow, but most were a pale blush color. The largest stone was the rose hue of a sunrise. That one would be placed on the scale the day she married Drew Bishop. Even more brilliant but a wee bit smaller was the pink stone glistening with specs of silver.
On the day Jennifer Green was born a pile of stones was placed alongside her scale of life. A few were the dark gray of sorrow, but most were a pale blush color. The largest stone was the rose hue of a sunrise. That one would be placed on the scale the day she married Drew Bishop. Even more brilliant but a wee bit smaller was the pink stone glistening with specs of silver. That one would bring Jennifer a baby girl named Brooke. The Keeper of the Scale smiled. Seeing such happiness laid out before him was pleasing to his eye. Since the beginning of time, he and he alone has been challenged with the task of keeping each person’s scale in balance. A bit of happiness and then a small stone of sorrow, until the lives he has in his charge are measured evenly. You might think such power is universal, but it is not. There are silver threads that crisscross the landscape of scales and connect strangers to one another. Not even the Keeper of the Scale can control the events traveling through those threads; the only thing he can do is try to equalize the balance once it has been thrown off. There is nothing more he can do for Jennifer; now he must find the thread that leads to Drew if he is to have the love he deserves. ",Kindle Edition,Fiction,248,['by Bent Pine Publishing'],4.32,Silver Threads,https://www.goodreads.com/book/show/31246481-silver-threads?from_choice=true
18,Tiffany McDaniel,[],"Fielding Bliss has never forgotten the summer of 1984:the year a heatwave scorched the small town of Breathed, Ohio.The year he became friends with the devil.When local prosecutor Autopsy Bliss publishes an invitation to the devil to come to the country town of Breathed, Ohio, nobody quite expected that he would turn up. They especially didn't expect him to turn up a
Fielding Bliss has never forgotten the summer of 1984:the year a heatwave scorched the small town of Breathed, Ohio.The year he became friends with the devil.When local prosecutor Autopsy Bliss publishes an invitation to the devil to come to the country town of Breathed, Ohio, nobody quite expected that he would turn up. They especially didn't expect him to turn up a tattered and bruised thirteen-year-old boy.Fielding, the son of Autopsy, finds the boy outside the courthouse and brings him home, and he is welcomed into the Bliss family. The Blisses believe the boy, who calls himself Sal, is a runaway from a nearby farm town. Then, as a series of strange incidents implicate Sal — and riled by the feverish heatwave baking the town from the inside out — there are some around town who start to believe that maybe Sal is exactly who he claims to be.But whether he's a traumatised child or the devil incarnate, Sal is certainly one strange fruit: he talks in riddles, his uncanny knowledge and understanding reaches far outside the realm of a normal child — and ultimately his eerily affecting stories of Heaven, Hell, and earth will mesmerise and enflame the entire town.Devastatingly beautiful, The Summer That Melted Everything is a captivating story about community, redemption, and the dark places where evil really lies.",Hardcover,Fiction,310,"[""by St. Martin's Press""]",3.94,The Summer that Melted Everything,https://www.goodreads.com/book/show/26114523-the-summer-that-melted-everything?from_choice=true
19,Asaad Almohammad,['April 5th 2016'],"Adam is a tortured soul. Exiled from his homeland, forced to watch the horrors unfold from afar. His family, still living  or surviving  in war-torn Syria struggle daily to feed, clothe, and educate their children.Adam tries to be a global citizen and become a part of his new community in Malaysia, but is constantly faced with intolerance, bigotry, and plain old racism.
Adam is a tortured soul. Exiled from his homeland, forced to watch the horrors unfold from afar. His family, still living – or surviving – in war-torn Syria struggle daily to feed, clothe, and educate their children.Adam tries to be a ‘global citizen’ and become a part of his new community in Malaysia, but is constantly faced with intolerance, bigotry, and plain old racism. Opportunities are few and Adam finds himself working long hours for poor pay so that he can help his family.The increasingly distressing news bulletins, along with Adam’s haunting childhood memories, compel him to examine his own beliefs; in God, in humanity, in himself and his integrity as a reluctant bystander in the worst human catastrophe of the twenty-first century.",Paperback,Fiction,370,[],3.80,An Ishmael of Syria,https://www.goodreads.com/book/show/29776246-an-ishmael-of-syria?from_choice=true
20,Stephen King,['June 7th 2016'],"The spectacular finale to the New York Times bestselling trilogy that began with Mr. Mercedes (winner of the Edgar Award) and Finders KeepersIn End of Watch, the diabolical Mercedes Killer drives his enemies to suicide, and if Bill Hodges and Holly Gibney dont figure out a way to stop him, theyll be victims themselves.In Room 217 of the Lakes Region Traumatic Brain Injury
The spectacular finale to the New York Times bestselling trilogy that began with Mr. Mercedes (winner of the Edgar Award) and Finders Keepers—In End of Watch, the diabolical “Mercedes Killer” drives his enemies to suicide, and if Bill Hodges and Holly Gibney don’t figure out a way to stop him, they’ll be victims themselves.In Room 217 of the Lakes Region Traumatic Brain Injury Clinic, something has awakened. Something evil. Brady Hartsfield, perpetrator of the Mercedes Massacre, where eight people were killed and many more were badly injured, has been in the clinic for five years, in a vegetative state. According to his doctors, anything approaching a complete recovery is unlikely. But behind the drool and stare, Brady is awake, and in possession of deadly new powers that allow him to wreak unimaginable havoc without ever leaving his hospital room.Retired police detective Bill Hodges, the unlikely hero of Mr. Mercedes and Finders Keepers, now runs an investigation agency with his partner, Holly Gibney—the woman who delivered the blow to Hartsfield’s head that put him on the brain injury ward. When Bill and Holly are called to a suicide scene with ties to the Mercedes Massacre, they find themselves pulled into their most dangerous case yet, one that will put their lives at risk, as well as those of Bill’s heroic young friend Jerome Robinson and his teenage sister, Barbara. Brady Hartsfield is back, and planning revenge not just on Hodges and his friends, but on an entire city.In End of Watch, Stephen King brings the Hodges trilogy to a sublimely terrifying conclusion, combining the detective fiction of Mr. Mercedes and Finders Keepers with the heart-pounding, supernatural suspense that has been his bestselling trademark. The result is an unnerving look at human vulnerability and chilling suspense. No one does it better than King.",Hardcover,Horror,432,['by Scribner'],4.08,End of Watch,https://www.goodreads.com/book/show/25526965-end-of-watch?from_choice=true
21,Louise Penny,['August 30th 2016'],"When an intricate old map is found stuffed into the walls of the bistro in Three Pines, it at first seems no more than a curiosity. But the closer the villagers look, the stranger it becomes. Given to Armand Gamache as a gift the first day of his new job, the map eventually leads him to shattering secrets. To an old friend and older adversary. It leads the former Chief of
When an intricate old map is found stuffed into the walls of the bistro in Three Pines, it at first seems no more than a curiosity. But the closer the villagers look, the stranger it becomes. Given to Armand Gamache as a gift the first day of his new job, the map eventually leads him to shattering secrets. To an old friend and older adversary. It leads the former Chief of Homicide for the Sûreté du Québec to places even he is afraid to go. But must. And there he finds four young cadets in the Sûreté academy, and a dead professor. And, with the body, a copy of the old, odd map. Everywhere Gamache turns, he sees Amelia Choquet, one of the cadets. Tattooed and pierced. Guarded and angry. Amelia is more likely to be found on the other side of a police line-up. And yet she is in the academy. A protégée of the murdered professor.The focus of the investigation soon turns to Gamache himself and his mysterious relationship with Amelia, and his possible involvement in the crime. The frantic search for answers takes the investigators back to Three Pines and a stained glass window with its own horrific secrets. For both Amelia Choquet and Armand Gamache, the time has come for a great reckoning.Number-one New York Times bestselling author Louise Penny pulls back the layers to reveal a brilliant and emotionally powerful truth in her latest spellbinding novel.",Hardcover,Mystery,389,['by Minotaur Books'],4.42,A Great Reckoning,https://www.goodreads.com/book/show/28220985-a-great-reckoning?from_choice=true
