author,description,format,genre,month,pages,publisher,rating,title,year
Viet Thanh Nguyen,"From a young Vietnamese refugee who suffers profound culture shock when he comes to live with two gay men in San Francisco, to a woman whose husband is suffering from dementia and starts to confuse her for a former lover, to a girl living in Ho Chi Minh City whose older half-sister comes back from America having seemingly accomplished everything she never will, the stories",Hardcover,Short Stories,February,209,Grove Press,3.89,The Refugees,2017
Dan Egan,<strong>A master reporter’s landmark work of contemporary ecology.</strong>,Hardcover,Nonfiction,March,364,W. W. Norton  Company,4.34,The Death and Life of the Great Lakes,2017
Douglas Preston,<b>A five-hundred-year-old legend. An ancient curse. A stunning medical mystery. And a pioneering journey into the unknown heart of the world's densest jungle.</b>,Hardcover,Nonfiction,January,328,Grand Central Publishing,3.91,The Lost City of the Monkey God: A True Story,2017
Louise Erdrich,"Louise Erdrich, the ",Hardcover,Fiction,November,263,Harper,3.54,Future Home of the Living God,2017
Hari Kunzru,"From one of the most talented fiction writers at work today: two ambitious young musicians are drawn into the dark underworld of blues record collecting, haunted by the ghosts of a repressive past.",Hardcover,Fiction,March,271,Knopf Publishing Group,3.69,White Tears,2017
Margaret Wilkerson Sexton,"Evelyn is a Creole woman who comes of age in New Orleans at the height of World War Two. Her family inhabits the upper echelon of Black society and when she falls for no-name Renard, she is forced to choose between her life of privilege and the man she loves.",Hardcover,Fiction,August,256,Counterpoint LLC,3.79,A Kind of Freedom,2017
Pankaj Mishra,<b>One of our most important public intellectuals reveals the hidden history of our current global crisis</b>,ebook,Politics,February,416,"Farrar, Straus and Giroux                          (first published January 26th 2017",3.64,Age of Anger: A History of the Present,2017
Joshua  Green,"<b>From the reporter who was there at the very beginning comes the revealing inside story of the partnership between Steve Bannon and Donald Trump—the key to understanding the rise of the alt-right, the fall of Hillary Clinton, and the hidden forces that drove the greatest upset in American political history. </b>",Kindle Edition,Politics,July,286,Penguin Press,3.81,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",2017
Rachel Cusk,"<b>The stunning second novel of a trilogy that began with <i>Outline</i>, one of <i>The New York Times Book Review</i>’s ten best books of 2015</b>",Hardcover,Fiction,January,272,"Farrar, Straus and Giroux                          (first published September 29th 2016",3.87,Transit,2016
Yuri Slezkine,<i>The House of Government</i>,Hardcover,History,August,1096,Princeton University Press                          (first published August 15th 2017,4.14,The House of Government: A Saga of the Russian Revolution,2017
Omar El Akkad,"Sarat Chestnut, born in Louisiana, is only six when the Second American Civil War breaks out in 2074. But even she knows that oil is outlawed, that Louisiana is half underwater, that unmanned drones fill the sky. And when her father is killed and her family is forced into Camp Patience for displaced persons, she quickly begins to be shaped by her particular time and place",Hardcover,Fiction,April,333,Knopf Publishing Group,3.81,American War,2017
Elif Batuman,<b>A portrait of the artist as a young woman. A novel about not just discovering but inventing oneself.</b>,Hardcover,Fiction,March,423,Penguin Press,3.64,The Idiot,2017
Julia Wertz,"<b>A <i>New York Times</i> Notable Book of 2017!<br/><br/>Here is New York, </b>",Hardcover,Sequential Art,October,284,Black Dog & Leventhal,4.39,"Tenements, Towers & Trash: An Unconventional Illustrated History of New York City",2017
Gabriel Tallent,"Turtle Alveston is a survivor. At fourteen, she roams the woods along the northern California coast. The creeks, tide pools, and rocky islands are her haunts and her hiding grounds, and she is known to wander for miles. But while her physical world is expansive, her personal one is small and treacherous: Turtle has grown up isolated since the death of her mother, in the th",Hardcover,Fiction,August,417,Riverhead Books                          (first published April 29th 2017,3.65,My Absolute Darling,2017
Jessica Bruder,"From the beet fields of North Dakota to the wilderness campgrounds of California to an Amazon warehouse in Texas, people who once might have kicked back to enjoy their sunset years are hard at work. Underwater on mortgages or finding that Social Security comes up short, they're hitting the road in astonishing numbers, forming a new community of nomads: RV and van-dwelling",Hardcover,Nonfiction,September,273,W. W. Norton  Company,4.00,Nomadland: Surviving America in the Twenty-First Century,2017
Ganesh Sitaraman,"<b>In this original, provocative contribution to the debate over economic inequality, Ganesh Sitaraman argues that a strong and sizable middle class is a prerequisite for America's constitutional system. </b>",Hardcover,Politics,March,432,Knopf Publishing Group,4.12,The Crisis of the Middle-Class Constitution: Why Economic Inequality Threatens Our Republic,2017
Chris Hayes,"America likes to tell itself that it inhabits a post-racial world, but nearly every empirical measure—wealth, unemployment, incarceration, school segregation—reveals that racial inequality hasn’t improved since 1968. With the clarity and originality that distinguished his prescient bestseller ",Hardcover,Politics,March,256,W. W. Norton  Company,4.22,A Colony in a Nation,2017
Jack E. Davis,"When painter Winslow Homer first sailed into the Gulf of Mexico, he was struck by its ""special kind of providence."" Indeed, the Gulf presented itself as America’s sea—bound by geography, culture, and tradition to the national experience—and yet, there has never been a comprehensive history of the Gulf until now. And so, in this rich and original work that explores the Gulf",Hardcover,History,March,608,Liveright,4.26,The Gulf: The Making of An American Sea,2017
Rachel Aspden,"In 2003, Rachel Aspden arrived in Egypt as a 23-year-old trainee journalist. She found a country on the brink of change. Of Egypt's 80 million citizens, two-thirds were under 30. The new generation were stifled, broken and frustrated – caught between a dictatorship with nothing to offer them and autocratic parents still clinging to tradition and obedience after a lifetime",Paperback,Nonfiction,June,272,Harvill Secker                          (first published February 4th 2016,3.98,Generation Revolution: On the Front Line Between Tradition and Change in the Middle East,2016
David M.  Barnett,"<p> <b><i>Calling Major Tom</i> is a heartwarming, quirky and ultimately life-affirming story of friendship, family and forgiveness - and the world's most unlikely astronaut. </b> </p>",Paperback,Fiction,June,304,Trapeze                          (first published January 19th 2017,4.18,Calling Major Tom,2017
Maya Jasanoff,"<b>From one of America's most exciting historians, the astonishing life and times of Joseph Conrad, a visionary guide to the turbulent age of globalization</b>",Hardcover,Biography,November,375,Penguin Press                          (first published 2017,4.12,The Dawn Watch: Joseph Conrad in a Global World,2017
Alice Kaplan,<i>The Stranger</i>,Hardcover,Nonfiction,September,288,University of Chicago Press,4.01,Looking for The Stranger: Albert Camus and the Life of a Literary Classic,2016
Edmund Gordon,"Angela Carter is widely acknowledged as one of the most important and beguiling writers of the last century. Her work stands out for its bawdiness and linguistic zest, its hospitality to the fantastic and the absurd, and its extraordinary inventiveness and range. Her life was as modern and as unconventional as anything in her fiction.",Hardcover,Biography,October,544,Chatto & Windus,4.25,The Invention of Angela Carter: A Biography,2016
Ottessa Moshfegh,<b>An electrifying first collection from one of the most exciting short story writers of our time.</b>,Hardcover,Short Stories,January,294,Penguin Press,3.69,Homesick for Another World,2017
Margaret Drabble,<b>A magnificently mordant reckoning with mortality by the great British novelist</b>,Hardcover,Fiction,February,325,"Farrar, Straus and Giroux                          (first published November 3rd 2016",3.60,The Dark Flood Rises,2016
Edward Stourton,"The British Broadcasting Corporation is a British institution unlike any other, and its story during the Second World War is also our story. This was Britain’s first total war, engaging the whole nation, and the wireless played a crucial role in it. For the first time, news of the conflict reached every living room – sometimes almost as it happened; and at key moments – Ch",Hardcover,History,November,432,Doubleday,4.03,Auntie's War: The BBC during the Second World War,2017
Lauren Elkin,"<i>'Flâneuse [flanne-euhze], noun, from the French. Feminine form of flâneur [flanne-euhr], an idler, a dawdling observer, usually found in cities.<br/><br/>That is an imaginary definition.'</i>",Hardcover,Nonfiction,,336," Farrar, Straus and Giroux",3.60,"Flâneuse: Women Walk the City in Paris, New York, Tokyo, Venice and London",
Anthony DeCurtis,<strong>The essential biography of one of music's most influential icons: Lou Reed</strong>,Hardcover,Music,October,528,"Little, Brown and Company",4.00,Lou Reed: A Life,2017
Masha Gessen,"The essential journalist and bestselling biographer of Vladimir Putin reveals how, in the space of a generation, Russia surrendered to a more virulent and invincible new strain of autocracy. ",Hardcover,Nonfiction,October,515,Riverhead Books,4.21,The Future Is History: How Totalitarianism Reclaimed Russia,2017
Richard Flanagan,"<b>Six weeks to write for your life... In this blistering story of a ghostwriter haunted by his demonic subject, the Man Booker Prize winner turns to lies, crime and literature with devastating effect</b>",Hardcover,Fiction,November,400,Chatto  Windus                          (first published October 2nd 2017,3.24,First Person,2017
John Banville,"<b>A rich historical novel about the aftermath of betrayal, from the Booker prize-winning author.</b>",Hardcover,Fiction,October,368,Hamish Hamilton,3.59,Mrs Osmond,2017
Matt Haig,"<b> <b><b>""The first rule is that you don't fall in love, ' he said... 'There are other rules too, but that is the main one. No falling in love. No staying in love. No daydreaming of love. If you stick to this you will just about be okay.'""</b> </b> </b>",Hardcover,Fiction,February,325,Viking                          (first published July 6th 2017,3.88,How to Stop Time,2017
Naomi Klein,"<b>Naomi Klein - award-winning journalist, bestselling author of <i>No Logo</i>, <i>The Shock Doctrine</i> and <i>This Changes Everything</i>, scourge of brand bullies and corporate liars - gives us the toolkit we need to survive our surreal, shocking age.</b>",Paperback,Nonfiction,June,273,Allen Lane                          (first published June 7th 2017,4.16,No Is Not Enough: Defeating the New Shock Politics,2017
Rachel Seiffert,<b>From the award-winning author of the Booker Prize short-listed <i>The Dark Room</i> a startling portrait of the Nazis' arrival in Ukraine as they move to implement the final solution.</b>,Hardcover,Historical,August,256,Pantheon Books                          (first published May 30th 2017,3.63,A Boy in Winter,2017
Hillary Rodham Clinton,"<b>“In the past, for reasons I try to explain, I’ve often felt I had to be careful in public, like I was up on a wire without a net. Now I’m letting my guard down.”</b>",Kindle Edition,Nonfiction,September,512,Simon & Schuster,3.99,What Happened,2017
Hideo Yokoyama,<i>Six Four</i>,Hardcover,Mystery,February,576,"Farrar, Straus and Giroux                          (first published October 2012",3.45,Six Four,2012
Judith Newman,"Writer Judith Newman never had any illusions that her family was 'normal'. She and her husband keep separate apartments-his filled with twin grand pianos as befits a former opera singer; hers filled with the clutter and chaos of twin adolescent boys conceived late in life. And one of those boys is Gus, her sweet, complicated, autistic 13-year-old.",Kindle Edition,Nonfiction,August,240,Quercus,3.08,"To Siri With Love: A Mother, Her Autistic Son, and the Kindness of a Machine",2017
Michael   Lewis,"Forty years ago, Israeli psychologists Daniel Kahneman and Amos Tversky wrote a series of breathtakingly original papers that invented the field of behavioral economics. One of the greatest partnerships in the history of science, Kahneman and Tversky’s extraordinary friendship incited a revolution in Big Data studies, advanced evidence-based medicine, led to a new approach",Paperback,Nonfiction,October,368,W. W. Norton  Company                          (first published December 6th 2016,3.98,The Undoing Project: A Friendship That Changed Our Minds,2016
Franklin Foer,"Franklin Foer reveals the existential threat posed by big tech, and in his brilliant polemic gives us the toolkit to fight their pervasive influence. ",Hardcover,Nonfiction,September,272,Penguin Press,3.62,World Without Mind: The Existential Threat of Big Tech,2017
Franklin Foer,"Franklin Foer reveals the existential threat posed by big tech, and in his brilliant polemic gives us the toolkit to fight their pervasive influence. ",Hardcover,Nonfiction,September,272,Penguin Press,3.62,World Without Mind: The Existential Threat of Big Tech,2017
Katie Kitamura,"A mesmerizing, psychologically taut novel about a marriage's end and the secrets we all carry. ",Hardcover,Fiction,February,231,Riverhead Books,2.90,A Separation,2017
Domenico Starnone,<i>Ties</i>,Paperback,Fiction,2015,150,Europa                          (first published October 14th 2014,3.92,Ties,2014
Thomas E. Ricks,"<b>From #1 <i>New York Times</i> bestselling author Thomas E. Ricks, a dual biography of Winston Churchill and George Orwell, whose farsighted vision and inspired action preserved democracy from the threats of authoritarianism, from the left and right alike.</b>",Hardcover,History,May,352,Penguin Press,4.05,Churchill and Orwell: The Fight for Freedom,2017
Richard O. Prum,"<b>A major reimagining of how evolutionary forces work, revealing how mating preferences--what Darwin termed ""the taste for the beautiful""--create the extraordinary range of ornament in the animal world. </b>",Hardcover,Science,May,448,Doubleday Books,4.04,The Evolution of Beauty: How Darwin's Forgotten Theory of Mate Choice Shapes the Animal World—And Us,2017
Gordon S. Wood,"<b>From the great historian of the American Revolution, New York Times-bestselling and Pulitzer-winning Gordon Wood, comes a majestic dual biography of two of America's most enduringly fascinating figures, whose partnership helped birth a nation, and whose subsequent falling out did much to fix its course.</b>",Hardcover,History,October,512,Penguin Press,4.08,Friends Divided: John Adams and Thomas Jefferson,2017
Caroline Fraser,"<b>The first comprehensive historical biography of Laura Ingalls Wilder, the beloved author of the <i>Little House on the Prairie</i> books</b>",Hardcover,Nonfiction,November,640,Metropolitan Books                          (first published November 14th 2017,4.07,Prairie Fires: The American Dreams of Laura Ingalls Wilder,2017
James McBride,The stories in ,Hardcover,Short Stories,September,320,Riverhead Books,3.95,Five-Carat Soul,2017
Victor LaValle,"<b>One man’s thrilling journey through an enchanted world to find his wife, who has disappeared after seemingly committing an unforgiveable act of violence, from the award-winning author of the <i>The Devil in Silver</i> and <i>Big Machine</i>.</b>",Hardcover,Fantasy,June,431,Spiegel & Grau,3.80,The Changeling,2017
Jeffrey Eugenides,<b>The first collection of short fiction from the Pulitzer Prize-winning author Jeffrey Eugenides</b>,Hardcover,Short Stories,October,285,"Farrar, Straus and Giroux",3.63,Fresh Complaint,2017
Alice McDermott,<b>A magnificent new novel from one of America’s finest writers—a powerfully affecting story spanning the twentieth century of a widow and her daughter and the nuns who serve their Irish-American community in Brooklyn.</b>,Hardcover,Fiction,September,247,"Farrar, Straus and Giroux",3.62,The Ninth Hour,2017
Ron Chernow,"<b>Pulitzer Prize-winner and biographer of Alexander Hamilton, George Washington, and John D. Rockefeller, Ron Chernow returns with a sweeping and dramatic portrait of one of America's most complicated generals and presidents, Ulysses S. Grant.</b>",Hardcover,History,October,1074,Penguin Press,4.56,Grant,2017
Dylan Krieger,"As its suggestively punning title implies, Giving Godhead is a volume of poetry that challenges the boundary between the sacred and the obscene by conflating biblical images of “holy” acquiescence with sexually deviant forms of submission characteristic of BDSM roleplaying. This conflation of saintly and sinful acts of submission naturally centers around a meditation on Ch",Paperback,Poetry,February,82,Delete Press,3.63,Giving Godhead,2017
Danzy Senna,From the bestselling author of ,Hardcover,Fiction,August,240,Riverhead Books,3.23,New People,2017
Layli Long Soldier,"<b>The astonishing, powerful debut by the winner of a 2016 Whiting Writers' Award</b>",Paperback,Poetry,March,110,Graywolf Press,4.40,Whereas,2017
Nicole Krauss,"Jules Epstein, a man whose drive, avidity, and outsized personality have, for sixty-eight years, been a force to be reckoned with, is undergoing a metamorphosis. In the wake of his parents’ deaths, his divorce from his wife of more than thirty years, and his retirement from the New York legal firm where he was a partner, he’s felt an irresistible need to give away his poss",ebook,Fiction,September,304,Harper                          (first published 2017,3.09,Forest Dark,2017
Elena Passarello,"Beginning with Yuka, a 39,000 year old mummified woolly mammoth recently found in the Siberian permafrost, each of the 16 essays in ",Hardcover,Nonfiction,February,200,Sarabande Books,3.90,Animals Strike Curious Poses,2017
Frances FitzGerald,"<b>“A page turner…We have long needed a fair-minded overview of this vitally important religious sensibility, and FitzGerald has now provided it.” —<i>The New York Times Book Review</i></b>",Hardcover,History,April,752,Simon  Schuster,4.16,The Evangelicals: The Struggle to Shape America,2017
N.K. Jemisin,THIS IS THE WAY THE WORLD ENDS... FOR THE LAST TIME.,Paperback,Fantasy,August,416,Orbit,4.38,The Stone Sky,2017
Timothy B. Tyson,This extraordinary ,Hardcover,History,January,291,Simon & Schuster,4.24,The Blood of Emmett Till,2017
Graham Allison,<b>CHINA AND THE UNITED STATES ARE HEADING TOWARD A WAR NEITHER WANTS. </b>,Hardcover,History,May,384,Houghton Mifflin Harcourt,4.20,Destined for War: Can America and China Escape Thucydides’s Trap?,2017
Elizabeth Hardwick,An NYRB Classics Original,Paperback,Writing,October,610,New York Review of Books                          (first published 2017,4.26,The Collected Essays of Elizabeth Hardwick,2017
Richard Rothstein,"In this groundbreaking history of the modern American metropolis, Richard Rothstein, a leading authority on housing policy, explodes the myth that America’s cities came to be racially divided through ",Hardcover,History,May,368,Liveright,4.43,The Color of Law: A Forgotten History of How Our Government Segregated America,2017
Adam Federman,"For more than thirty years, Patience Gray--author of the celebrated cookbook ",Hardcover,Biography,September,400,Chelsea Green Publishing Company                          (first published June 2nd 2017,3.81,Fasting and Feasting: The Life of Visionary Food Writer Patience Gray,2017
Ayelet Gundar-Goshen,"Dr. Eitan Green is a good man. He saves lives. Then, speeding along a deserted moonlit road in his SUV, he hits someone. Seeing that the man, an African migrant, is beyond help, he flees the scene. It is a decision that changes everything. Because the dead man’s wife knows what happened. When she knocks at Eitan’s door the next day, tall and beautiful, he discovers that he",Hardcover,Fiction,March,409,Puskin Press                          (first published 2014,3.81,Waking Lions,2014
Mike  Wallace,"In this utterly immersive volume, Mike Wallace captures the swings of prosperity and downturn, from the 1898 skyscraper-driven boom to the Bankers' Panic of 1907, the labor upheaval, and violent repression during and after the First World War. Here is New York on a whole new scale, moving from national to global prominence -- an urban dynamo driven by restless ambition, bo",Hardcover,History,October,1200,Oxford University Press                          (first published October 2017,4.25,Greater Gotham: A History of New York City from 1898 to 1919,2017
James Forman Jr.,"In recent years, America’s criminal justice system has become the subject of an increasingly urgent debate. Critics have assailed the rise of mass incarceration, emphasizing its disproportionate impact on people of color. As James Forman, Jr., points out, however, the war on crime that began in the 1970s was supported by many African American leaders in the nation’s urban",Kindle Edition,Nonfiction,April,320,"Farrar, Straus and Giroux",4.37,Locking Up Our Own: Crime and Punishment in Black America,2017
Dominic Dromgoole,"Two years. 193,000 miles. 190 countries. One play. For the 450th anniversary of Shakespeare’s birth the Globe Theatre undertook an unparalleled journey, to take ",Hardcover,Nonfiction,April,320,Grove Press,3.72,Hamlet Globe to Globe,2017
Suzy Hansen,Suzy Hansen left her country and moved to Istanbul and discovered America,Hardcover,Nonfiction,August,288,"Farrar, Straus and Giroux",4.05,Notes on a Foreign Country: An American Abroad in a Post-American World,2017
Laura Dassow Walls,"“Walden. Yesterday I came here to live.” That entry from the journal of Henry David Thoreau, and the intellectual journey it began, would by themselves be enough to place Thoreau in the American pantheon. His attempt to “live deliberately” in a small woods at the edge of his hometown of Concord has been a touchstone for individualists and seekers since the publication of ",Hardcover,Biography,July,640,University of Chicago Press,4.49,Henry David Thoreau: A Life,2017
Michael Tisserand,"In the tradition of Schulz and Peanuts, an epic and revelatory biography of Krazy Kat creator George Herriman that explores the turbulent time and place from which he emerged—and the deep secret he explored through his art.",Hardcover,Biography,December,384,Harper                          (first published December 2016,4.30,Krazy: The Black and White World of George Herriman,2016
Alan F. Taylor,"<p>This book is an intimate, fond and funny memoir of one of the greatest novelists of the last century. This colourful, personal, anecdotal, indiscrete and admiring memoir charts the course of Muriel Spark's life revealing her as she really was. Once, she commented sitting over a glass of chianti at the kitchen table, that she was upset that the academic whom she had appoint</p>",Kindle Edition,Nonfiction,November,162,Polygon,3.89,Appointment in Arezzo: A Friendship With Muriel Spark,2017
Victor Sebestyen,<p> <b>Shortlisted for the Elizabeth Longford Prize for Historical Biography</b> </p>,Kindle Edition,History,February,593,Weidenfeld & Nicolson,4.26,Lenin the Dictator,2017
Dan Chaon,"<b>Two sensational unsolved crimes—one in the past, another in the present—are linked by one man’s memory and self-deception in this chilling novel of literary suspense from National Book Award finalist Dan Chaon.</b>",Hardcover,Fiction,March,496,Ballantine Books,3.35,Ill Will,2017
Jason Zinoman,<em>New York Times</em>,Hardcover,Biography,April,368,Harper,3.70,Letterman: The Last Giant of Late Night,2017
Charlie Veron,"Hailed by David Attenborough and proclaimed a second Charles Darwin, Charlie Veron has lived up to his namesake. Even as a toddler, he had a deep affinity with the natural world, and by school age he knew more about some sciences than his teachers did. This didn't prevent him failing in a system that smothered creativity, and it was only by chance that he went to universit",Paperback,Nonfiction,July,320,Penguin Books,4.31,A Life Underwater,2017
Emily Fridlund,"Fourteen-year-old Madeline lives with her parents in the beautiful, austere woods of northern Minnesota, where their nearly abandoned commune stands as a last vestige of a lost counter-culture world. Isolated at home and an outlander at school, Madeline is drawn to the enigmatic, attractive Lily and new history teacher Mr. Grierson. When Mr. Grierson is charged with posses",Hardcover,Fiction,January,288,Grove Atlantic,3.41,History of Wolves,2017
Peter Kimani,"""This funny, perceptive and ambitious work of historical fiction by a Kenyan poet and novelist explores his country’s colonial past and its legacy through the stories of three men involved with the building of a railroad linking Lake Victoria and the Indian Ocean--what the Kikuyu called the 'Iron Snake' and the British called the 'Lunatic Express.'""",Paperback,Fiction,February,342,Akashic Books,3.58,Dance of the Jakaranda,2017
Karin Roffman,<b>The first biography of an American master</b>,Hardcover,Biography,June,336,"Farrar, Straus and Giroux",4.28,The Songs We Know Best: John Ashbery's Early Life,2017
Monica Hesse,"A breathtaking feat of reportage, ",Hardcover,Nonfiction,July,255,Liveright,3.79,"American Fire: Love, Arson, and Life in a Vanishing Land",2017
