author,description,format,genre,month,pages,publisher,rating,title,year
Dan Brown,"Robert Langdon, Harvard professor of symbology and religious iconology, arrives at the ultramodern Guggenheim Museum in Bilbao to attend a major announcement—the unveiling of a discovery that “will change the face of science forever.” The evening’s host is Edmond Kirsch, a forty-year-old billionaire and futurist whose dazzling high-tech inventions and audacious predictions",Hardcover,Fiction,October,461,Doubleday Books,3.85,Origin,2017
Louise Penny,"When a mysterious figure appears in Three Pines one cold November day, Armand Gamache and the rest of the villagers are at first curious. Then wary. Through rain and sleet, the figure stands unmoving, staring ahead.",Hardcover,Mystery,August,391,Minotaur Books,4.32,Glass Houses,2017
Karin Slaughter,<b>Two girls are forced into the woods at gunpoint. One runs for her life. One is left behind.</b>,Hardcover,Mystery,August,511,William Morrow,4.14,The Good Daughter,2017
Jane Harper,"<b>A small town hides big secrets in this atmospheric, page-turning debut mystery by award-winning author Jane Harper.</b>",Hardcover,Mystery,January,328,Flatiron Books                          (first published May 31st 2016,4.04,The Dry,2016
J.D. Robb,<b>A new novel in the #1 New York Times bestselling series: Lt. Eve Dallas must separate rumors from reality when a woman who traffics in other people’s secrets is silenced.</b>,Hardcover,Mystery,September,370,St. Martin's Press,4.29,Secrets in Death,2017
J.P. Delaney,"<b>In the tradition of The Girl on the Train, The Silent Wife, and Gone Girl comes an enthralling psychological thriller that spins one woman's seemingly good fortune and another woman's mysterious fate through a kaleidoscope of duplicity, death, and deception.<br/><br/>Soon to be a major motion picture directed by Ron Howard.</b>",Hardcover,Thriller,January,341,Ballantine Books,3.69,The Girl Before,2017
Rachel Caine,"Gina Royal is the definition of average—a shy Midwestern housewife with a happy marriage and two adorable children. But when a car accident reveals her husband’s secret life as a serial killer, she must remake herself as Gwen Proctor—the ultimate warrior mom.",Paperback,Mystery,July,286,Thomas & Mercer,4.11,Stillhouse Lake,2017
Greg Iles,"The endgame is at hand for Penn Cage, his family, and the enemies bent on destroying them in this revelatory volume in the epic trilogy set in modern-day Natchez, Mississippi—Greg Iles’s epic tale of love and honor, hatred and revenge that explores how the sins of the past continue to haunt the present.",Hardcover,Fiction,March,694,William Morrow,4.44,Mississippi Blood,2017
B.A. Paris,"Cass is having a hard time since the night she saw the car in the woods, on the winding rural road, in the middle of a downpour, with the woman sitting inside—the woman who was killed. She’s been trying to put the crime out of her mind; what could she have done, really? It’s a dangerous road to be on in the middle of a storm. Her husband would be furious if he knew she’d b",Hardcover,Thriller,July,328,St. Martin's Press                          (first published February 9th 2017,3.91,The Breakdown,2017
Chevy Stevens,"Eleven years ago, Lindsey Nash escaped into the night with her young daughter and left an abusive relationship. Her ex-husband, Andrew, was sent to jail and Lindsey started over with a new life.",Hardcover,Thriller,March,406,St. Martin's Press,3.97,Never Let You Go,2017
Sarah A. Denzil,"In the summer of 2006, Emma Price watched helplessly as her six-year-old son's red coat was fished out of the River Ouse. It was the tragic story of the year - a little boy, Aiden, wandered away from school during a terrible flood, fell into the river, and drowned. His body was never recovered. Ten years later, Emma has finally rediscovered the joy in life. She's married,",Paperback,Mystery,January,413,Createspace Independent Publishing Platform                          (first published January 22nd 2017,4.02,Silent Child,2017
John Sandford,"<b><i>The man was smart and he didn’t mind killing people. Welcome to the big leagues, Davenport.</i> Lucas Davenport’s first case as a U.S. Marshal sends him into uncharted territory, in the thrilling new novel in the #1 New York Times-bestselling series.</b>",Hardcover,Mystery,April,400,G.P. Putnam's Sons,4.31,Golden Prey,2017
Kimberly Belle,<b>Even the perfect marriage has its dark side… </b>,Paperback,Mystery,December,334,Mira,3.94,The Marriage Lie,2016
Alessandra Torre,"Four years ago, I lied. I stood in front of the police, my friends and family, and made up a story, my best one yet. And all of them believed me. ",Paperback,Mystery,October,307,DCA,4.24,The Ghostwriter,2017
Sarah Pinborough,<b>Why is everyone talking about the ending of Sarah Pinborough's <i><b>Behind Her Eyes?</b></i></b>,Hardcover,Thriller,January,307,Flatiron Books                          (first published January 26th 2017,3.75,Behind Her Eyes,2017
Brian Freeman,Homicide detective Frost Easton doesn’t like coincidences. When a series of bizarre deaths rock San Francisco—as seemingly random women suffer violent psychotic breaks—Frost looks for a connection that leads him to psychiatrist Francesca Stein. Frankie’s controversial therapy helps people erase their most terrifying memories…and all the victims were her patients.,Paperback,Mystery,February,362,Thomas & Mercer,3.96,The Night Bird,2017
Joe Ide,"For ten years, something has gnawed at Isaiah Quintabe's gut and kept him up nights, boiling with anger and thoughts of revenge. Ten years ago, when Isaiah was just a boy, his brother was killed by an unknown assailant. The search for the killer sent Isaiah plunging into despair and nearly destroyed his life. Even with a flourishing career, a new dog, and near-iconic statu",Hardcover,Mystery,October,336,Mulholland Books,3.85,Righteous,2017
Robert Bryndza,He’s your perfect date. You’re his next victim.,Paperback,Mystery,April,368,Bookouture,4.39,Last Breath,2017
J.D. Barker,"For over five years, the Four Monkey Killer has terrorized the residents of Chicago. When his body is found, the police quickly realize he was on his way to deliver one final message, one which proves he has taken another victim who may still be alive.",Hardcover,Thriller,June,404,Houghton Mifflin Harcourt,4.15,The Fourth Monkey,2017
Lisa Wingate,"THE BLOCKBUSTER HIT—A New York Times, USA Today, Wall Street Journal, and Publishers Weekly Bestseller",Hardcover,Historical,June,342,Ballantine Books,4.36,Before We Were Yours,2017
George Saunders,"In his long-awaited first novel, American master George Saunders delivers his most original, transcendent, and moving work yet. Unfolding in a graveyard over the course of a single night, narrated by a dazzling chorus of voices, Lincoln in the Bardo is a literary experience unlike any other—for no one but Saunders could conceive it.",Hardcover,Fiction,February,343,Random House,3.79,Lincoln in the Bardo,2017
Ken Follett,"In 1558, the ancient stones of Kingsbridge Cathedral look down on a city torn apart by religious conflict. As power in England shifts precariously between Catholics and Protestants, royalty and commoners clash, testing friendship, loyalty, and love.",Hardcover,Historical,September,916,Viking,4.22,A Column of Fire,2017
Kate Quinn,"In an enthralling new historical novel from national bestselling author Kate Quinn, two women—a female spy recruited to the real-life Alice Network in France during World War I and an unconventional American socialite searching for her cousin in 1947—are brought together in a mesmerizing story of courage and redemption. ",Paperback,Historical,June,532,William Morrow Paperbacks,4.26,The Alice Network,2017
Mark T. Sullivan,"<p> <b>Based on the true story of a forgotten hero, <i>Beneath a Scarlet Sky</i> is the triumphant, epic tale of one young man’s incredible courage and resilience during one of history’s darkest hours.</b> </p>",Paperback,Historical,May,513,Lake Union Publishing,4.42,Beneath a Scarlet Sky,2017
Taylor Jenkins Reid,"Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now?",Hardcover,Historical,June,388,Atria Books,4.27,The Seven Husbands of Evelyn Hugo,2017
Lisa See,From #1 ,Hardcover,Historical,March,371,Scribner,4.24,The Tea Girl of Hummingbird Lane,2017
Min Jin Lee,<i>Pachinko</i>,Hardcover,Historical,February,489,Grand Central Publishing,4.26,Pachinko,2017
Michael Chabon,Following on the heels of his ,Hardcover,Fiction,November,430,Harper,3.82,Moonglow,2016
Amy Harmon,"<p> <i>Italy, 1943—Germany occupies much of the country, placing the Jewish population in grave danger during World War II.</i> </p>",Paperback,Historical,December,384,Lake Union Publishing,4.40,From Sand and Ash,2016
Philippa Gregory,"The latest novel from #1 New York Times bestselling author Philippa Gregory features one of the most famous girls in history, Lady Jane Grey, and her two sisters, each of whom dared to defy her queen.",Hardcover,Historical,August,528,Touchstone,3.79,The Last Tudor,2017
Jennifer Egan,<b>The daring and magnificent novel from the Pulitzer Prize–winning author of A Visit from the Goon Squad.</b>,Hardcover,Historical,October,438,Scribner,3.64,Manhattan Beach,2017
Anita Shreve,"In October 1947, after a summer-long drought, fires break out all along the Maine coast from Bar Harbor to Kittery and are soon racing out of control from town to village. Five months pregnant, Grace Holland is left alone to protect her two toddlers when her husband, Gene, joins the volunteer firefighters. Along with her best friend, Rosie, and Rosie's two young children,",Hardcover,Historical,April,256,Knopf Publishing Group,3.85,The Stars Are Fire,2017
John Boyne,Cyril Avery is not a ,Hardcover,Historical,August,582,Hogarth Press                          (first published February 9th 2017,4.47,The Heart's Invisible Furies,2017
Christina Baker Kline,From the #1 ,Hardcover,Historical,February,309,William Morrow,3.87,A Piece of the World,2017
Jessica Shattuck,"<em>Three women, haunted by the past and the secrets they hold</em>",Hardcover,Historical,March,356,William Morrow,3.87,The Women in the Castle,2017
Georgia Hunter,NEW YORK TIMES BESTSELLER,Hardcover,Historical,February,416,Viking,4.41,We Were the Lucky Ones,2017
Hala Alyan,"<div><b>“Reading <i>Salt Houses</i> is like having your coffee grounds read: cosmic, foreboding and titillating all at once.</b> In this magnificent debut, Alyan’s powerful and poetic voice guides us into the dark recesses of history and leads us right up to the present tensions between East &amp; West, the modern &amp; ancestral, the hopeless and the hopeful.” <br/><b>—Aline Ohanesian, author of <i>Or</i></b></div>",Hardcover,Fiction,May,320,Houghton Mifflin Harcourt,3.90,Salt Houses,2017
Jamie Ford,"<b>A powerful novel about an orphan boy who is raffled off at Seattle’s 1909 World Fair, and the friends who teach him what it really means to have a family, from the author of <i>Hotel on the Corner of Bitter and Sweet</i>.</b>",Hardcover,Historical,September,320,Ballantine Books,3.93,Love and Other Consolation Prizes,2017
Janet Benton,<b>A young woman finds the most powerful love of her life when she gives birth at an institution for unwed mothers in 1883 Philadelphia. She is told she must give up her daughter to avoid a life of poverty and shame. But she chooses to keep her.</b>,Hardcover,Historical,May,352,Nan A. Talese,4.01,Lilli de Jong,2017
J.K. Rowling,J.K. Rowling's screenwriting debut is captured in this exciting hardcover edition of the Fantastic Beasts and Where to Find Them screenplay.,Hardcover,Fantasy,November,293,Arthur A. Levine Books,4.31,Fantastic Beasts and Where to Find Them: The Original Screenplay,2016
Neil Gaiman,<p>Introducing an instant classic—master storyteller Neil Gaiman presents a dazzling version of the great Norse myths.</p>,Hardcover,Fantasy,February,299,W. W. Norton & Company,4.10,Norse Mythology,2017
V.E. Schwab,<b><i>Witness the fate of beloved heroes - and enemies.</i><br/><br/>THE BALANCE OF POWER HAS FINALLY TIPPED...</b>,Hardcover,Fantasy,February,624,Tor Books,4.39,A Conjuring of Light,2017
Katherine Arden,"At the edge of the Russian wilderness, winter lasts most of the year and the snowdrifts grow taller than houses. But Vasilisa doesn't mind—she spends the winter nights huddled around the embers of a fire with her beloved siblings, listening to her nurse's fairy tales. Above all, she loves the chilling story of Frost, the blue-eyed winter demon, who appears in the frigid ni",Hardcover,Fantasy,January,323,Del Rey Books,4.13,The Bear and the Nightingale,2017
Brandon Sanderson,In ,Hardcover,Fantasy,November,1248,Tor Books,4.64,Oathbringer,2017
Ilona Andrews,"Dina DeMille may run the nicest Bed and Breakfast in Red Deer, Texas, but she caters to a very particular kind of guest… the kind that no one on Earth is supposed to know about. Guests like a former intergalactic tyrant with an impressive bounty on her head, the Lord Marshal of a powerful vampire clan, and a displaced-and-superhot werewolf; so don’t stand too close, or you",Paperback,Fantasy,December,332,Createspace Independent Publishing Platform                          (first published December 20th 2016,4.49,One Fell Sweep,2016
Karen Marie Moning,"Black holes loom menacingly over Dublin, threatening to destroy the Earth. Yet the greatest danger is the one MacKayla Lane has unleashed from within: the Sinsar Dubh—a sentient book of unthinkable evil—has possessed her body and will stop at nothing in its insatiable quest for power.",Hardcover,Fantasy,January,541,Delacorte Press,4.38,Feversong,2017
Robin Hobb,"More than twenty years ago, the first epic fantasy novel featuring FitzChivalry Farseer and his mysterious, often maddening friend the Fool struck like a bolt of brilliant lightning. Now New York Times bestselling author Robin Hobb brings to a momentous close the third trilogy featuring these beloved characters in a novel of unsurpassed artistry that is sure to endure as o",Hardcover,Fantasy,May,847,Del Rey                          (first published May 4th 2017,4.64,Assassin's Fate,2017
N.K. Jemisin,THIS IS THE WAY THE WORLD ENDS... FOR THE LAST TIME.,Paperback,Fantasy,August,416,Orbit,4.38,The Stone Sky,2017
Erika Johansen,"In less than a year, Kelsea Glynn has grown from an awkward teenager into a powerful monarch and a visionary leader.",Hardcover,Fantasy,November,478,Harper,3.77,The Fate of the Tearling,2016
Anne Bishop,"<b><i>New York Times</i> bestselling author Anne Bishop returns to her world of the Others, as humans struggle to survive in the shadow of shapeshifters and vampires far more powerful than themselves…</b>",Hardcover,Fantasy,March,397,Roc,4.30,Etched in Bone,2017
Mark  Lawrence,<i>I was born for killing – the gods made me to ruin.</i>,Hardcover,Fantasy,April,469,Ace,4.28,Red Sister,2017
Darynda Jones,"A typical day in the life of Charley Davidson involves cheating husbands, missing people, errant wives, philandering business owners, and oh yeah...demons, hell hounds, evil gods, and dead people. Lots and lots of dead people. As a part time Private Investigator and full-time Grim Reaper, Charley has to balance the good, the bad, the undead, and those who want her dead. In",Hardcover,Fantasy,January,310,St. Martin's Press,4.38,Eleventh Grave in Moonlight,2017
Patricia Briggs,"<b>In the #1 <i>New York Times</i> bestselling Mercy Thompson novels, the coyote shapeshifter has found her voice in the werewolf pack. But when Mercy's bond with the pack and her mate is broken, she'll learn what it truly means to be alone...</b>",Hardcover,Fantasy,March,371,Ace Books,4.41,Silence Fallen,2017
Nicholas Eames,"Clay Cooper and his band were once the best of the best -- the meanest, dirtiest, most feared crew of mercenaries this side of the Heartwyld. ",Paperback,Fantasy,February,502,Orbit,4.35,Kings of the Wyld,2017
Tad Williams,"The Dragonbone Chair, the first volume of Memory, Sorrow, and Thorn, was published in hardcover in October, 1988, launching the series that was to become one of the seminal works of modern epic fantasy. Many of today's top-selling fantasy authors, from Patrick Rothfuss to George R. R. Martin to Christopher Paolini credit Tad with being the inspiration for their own series.",Hardcover,Fantasy,June,721,Daw Books                          (first published June 2017,4.15,The Witchwood Crown,2017
Brian  McClellan,"The young nation of Fatrasta is a turbulent place - a frontier destination for criminals, fortune-hunters, brave settlers, and sorcerers seeking relics of the past. Only the iron will of the lady chancellor and her secret police holds the capital city of Landfall together against the unrest of a suppressed population and the machinations of powerful empires.",Hardcover,Fantasy,March,624,Orbit,4.45,Sins of Empire,2017
Brian  McClellan,"The young nation of Fatrasta is a turbulent place - a frontier destination for criminals, fortune-hunters, brave settlers, and sorcerers seeking relics of the past. Only the iron will of the lady chancellor and her secret police holds the capital city of Landfall together against the unrest of a suppressed population and the machinations of powerful empires.",Hardcover,Fantasy,March,624,Orbit,4.45,Sins of Empire,2017
Michael J. Sullivan,In ,Hardcover,Fantasy,July,512,Del Rey Books,4.29,Age of Swords,2017
Robert Jackson Bennett,"Revenge. It's something Sigrud je Harkvaldsson is very, very good at. Maybe the only thing. ",Paperback,Fantasy,May,451,Broadway Books,4.43,City of Miracles,2017
Colleen Hoover,<i>Not every mistake deserves a consequence. Sometimes the only thing it deserves is forgiveness.</i>,Hardcover,Romance,October,384,Atria Books,3.91,Without Merit,2017
Nora Roberts,<p>Love. Lies. Murder. A lot can happen... COME SUNDOWN</p>,Hardcover,Romance,May,466,St. Martin's Press,4.10,Come Sundown,2017
Lisa Kleypas,<i>An eccentric wallflower…</i>,Mass Market Paperback,Romance,February,370,Avon,4.08,Devil in Spring,2017
Ilona Andrews,Nevada Baylor has a unique and secret skill—she ,Mass Market Paperback,Fantasy,May,389,Avon,4.55,White Hot,2017
J.R. Ward,"The Black Dagger Brotherhood continues to train the best of the best to join them in the deadly battle against the Lessening Society. Among the new recruits, Axe proves to be a cunning and vicious fighter—and also a loner isolated because of personal tragedy. When an aristocratic female needs a bodyguard, Axe takes the job, though he’s unprepared for the animal attraction",Hardcover,Romance,December,459,Ballantine Books,4.41,Blood Vow,2016
Mariana Zapata,"If anyone ever said being an adult was easy, they hadn't been one long enough. Diana Casillas can admit it: she doesn't know what the hell she's doing half the time. How she's made it through the last two years of her life without killing anyone is nothing short of a miracle. Being a grown-up wasn't supposed to be so hard. With a new house, two little boys she inherited th",Paperback,Romance,December,670,Mariana Zapata,4.23,Wait for It,2016
Vi Keeland,"The night I met Drew Jagger, he’d just broken into my new Park Avenue office. I dialed 9-1-1 before proceeding to attack him with my fancy new Krav Maga skills.  He quickly restrained me, then chuckled, finding my attempted assault amusing.   ",Paperback,Romance,January,322,Everafter Romance,4.26,Egomaniac,2017
Brittainy C. Cherry,Graham Russell and I weren’t made for one another.,Paperback,Romance,April,270,CreateSpace Independent Publishing Platform,4.44,The Gravity of Us,2017
Emma Chase,"Some men are born responsible, some men have responsibility thrust upon them. Henry Charles Albert Edgar Pembrook, Prince of Wessco, just got the motherlode of all responsibility dumped in his regal lap.",Paperback,Romance,February,264,EverAfter,4.15,Royally Matched,2017
Nalini Singh,"Control. Precision. Family. These are the principles that drive Silver Mercant. At a time when the fledgling Trinity Accord seeks to unite a divided world, with Silver playing a crucial role as director of a worldwide emergency response network, wildness and chaos are the last things she needs in her life. But that's exactly what Valentin Nikolaev, alpha of the StoneWater",Hardcover,Romance,June,452,Berkley Books,4.29,Silver Silence,2017
L.J. Shen,<b>Emilia</b>,Paperback,Romance,December,338,L.J. Shen,4.19,Vicious,2016
Ella Frank,<b>Tease - verb: </b>,Paperback,Romance,June,354,Everafter Romance                          (first published May 9th 2017,4.41,Tease,2017
Laurelin Paige,"When I met Donovan Kincaid, I knew he was rich. I didn’t know he was filthy. Truth be told, I was only trying to get his best friend to notice me.",Paperback,Romance,March,300,Everafter Romance,4.14,Dirty Filthy Rich Men,2017
Penny Reid,"<b>NEW YORK TIMES, WALL STREET JOURNAL, &amp; USA TODAY bestselling series</b>",Paperback,Romance,August,400,Cipher-Naught                          (first published July 31st 2017,4.28,Beard in Mind,2017
Penny Reid,There are three things you need to know about Marie Harris: ,Paperback,Romance,May,304,Cipher-Naught,4.33,Dating-ish,2017
Beverly Jenkins,"A strong-willed beauty finds herself in the arms of the handsome drifter from her past, in this second book in the sizzling series set in the Old West, from USA Today bestselling author Beverly Jenkins",Paperback,Romance,January,384,Avon,4.16,Breathless,2017
Brenda Jackson,<b>Strong enough to protect her. Bold enough to love her. </b>,Paperback,Romance,January,384,HQN Books,4.02,Forged in Desire,2017
Tessa Dare,"<b> <i>When girl meets Duke, their marriage breaks all the rules…</i> </b>",Mass Market Paperback,Romance,August,370,Avon,4.06,The Duchess Deal,2017
Krista Ritchie,<b> <i>Don’t date your bodyguard.</i> </b>,Paperback,Romance,July,347,EverAfter Romance                          (first published June 27th 2017,4.02,Damaged Like Us,2017
Kate  Stewart,Music . . . the heart’s greatest librarian.,Paperback,Romance,October,412,CreateSpace Independent Publishing Platform,4.49,Drive,2017
Andy Weir,Jazz Bashara is a criminal.,Hardcover,Science Fiction,November,305,Crown,3.67,Artemis,2017
Sylvain Neuvel,"As a child, Rose Franklin made an astonishing discovery: a giant metallic hand, buried deep within the earth. As an adult, she’s dedicated her brilliant scientific career to solving the mystery that began that fateful day: Why was a titanic robot of unknown origin buried in pieces around the world? Years of investigation have produced intriguing answers—and even more perpl",Hardcover,Science Fiction,April,336, Del Rey,4.07,Waking Gods,2017
Timothy Zahn,"One of the most cunning and ruthless warriors in the history of the Galactic Empire, Grand Admiral Thrawn is also one of the most captivating characters in the Star Wars universe, from his introduction in bestselling author Timothy Zahn’s classic Heir to the Empire through his continuing adventures in Dark Force Rising, The Last Command, and beyond. But Thrawn’s origins an",Hardcover,Media Tie In,April,427,Random House,4.27,Thrawn,2017
Omar El Akkad,"Sarat Chestnut, born in Louisiana, is only six when the Second American Civil War breaks out in 2074. But even she knows that oil is outlawed, that Louisiana is half underwater, that unmanned drones fill the sky. And when her father is killed and her family is forced into Camp Patience for displaced persons, she quickly begins to be shaped by her particular time and place",Hardcover,Fiction,April,333,Knopf Publishing Group,3.81,American War,2017
Nnedi Okorafor,It’s been a year since Binti and Okwu enrolled at Oomza University. A year since Binti was declared a hero for uniting two warring planets. A year since she abandoned her family in the dawn of a new day.,Paperback,Science Fiction,January,164,Tor.com,4.16,Home,2017
Jeff VanderMeer,"In a ruined, nameless city of the future, a woman named Rachel, who makes her living as a scavenger, finds a creature she names “Borne” entangled in the fur of Mord, a gigantic, despotic bear. Mord once prowled the corridors of the biotech organization known as the Company, which lies at the outskirts of the city, until he was experimented on, grew large, learned to fly an",Hardcover,Science Fiction,April,336,"MCD / Farrar, Straus and Giroux",3.90,Borne,2017
James S.A. Corey,"The Free Navy – a violent group of Belters in black-market military ships – has crippled the Earth and begun a campaign of piracy and violence among the outer planets. The colony ships heading for the thousand new worlds on the far side of the alien ring gates are easy prey, and no single navy remains strong enough to protect them.",Hardcover,Science Fiction,December,538,Orbit,4.19,Babylon's Ashes,2016
Elan Mastai,"You know the future that people in the 1950s imagined we'd have? Well, it happened. In Tom Barren's 2016, humanity thrives in a techno-utopian paradise of flying cars, moving sidewalks, and moon bases, where avocados never go bad and punk rock never existed . . . because it wasn't necessary.",Hardcover,Science Fiction,February,373,Dutton Books                          (first published 2017,3.77,All Our Wrong Todays,2017
John Scalzi,"The first novel of a new space-opera sequence set in an all-new universe by the Hugo Award-winning, New York Times-bestselling author of Redshirts and Old Man's War.",Hardcover,Science Fiction,March,333,Tor Books,4.10,The Collapsing Empire,2017
Jodi Taylor,"No one knows quite how, but Max and her baby are safe at last.",Paperback,Science Fiction,July,376,Night Shade                          (first published April 13th 2017,4.45,And the Rest is History,2017
Dennis E. Taylor,"Bob Johansson didn’t believe in an afterlife, so waking up after being killed in a car accident was a shock. To add to the surprise, he is now a sentient computer and the controlling intelligence for a Von Neumann probe.",Paperback,Science Fiction,April,320,Ethan Ellenberg Literary Agency,4.37,For We Are Many,2017
Martha Wells,"In a corporate-dominated spacefaring future, planetary missions must be approved and supplied by the Company. Exploratory teams are accompanied by Company-supplied security androids, for their own safety.",Paperback,Science Fiction,May,149,Tor.com / Tom Doherty Associates,4.15,All Systems Red,2017
Ann Leckie,"Following her record-breaking debut trilogy, Ann Leckie, winner of the Hugo, Nebula, Arthur C. Clarke, and Locus Awards, returns with an enthralling new novel of power, theft, privilege, and birthright.",Hardcover,Science Fiction,September,439,Orbit,3.82,Provenance,2017
Neal Stephenson,"From bestselling author Neal Stephenson and critically acclaimed historical and contemporary commercial novelist Nicole Galland comes a captivating and complex near-future thriller combining history, science, magic, mystery, intrigue, and adventure that questions the very foundations of the modern world.",Hardcover,Science Fiction,June,752,William Morrow,3.88,The Rise and Fall of D.O.D.O.,2017
Yoon Ha Lee,Captain Kel Cheris is possessed by a long-dead traitor general. Together they must face the rivalries of the hexarchate and a potentially devastating invasion.,Paperback,Science Fiction,June,355,Solaris,4.17,Raven Stratagem,2017
Mur Lafferty,A space adventure set on a lone ship where the clones of a murdered crew must find their murderer -- before they kill again.,Paperback,Science Fiction,January,364,Orbit,3.85,Six Wakes,2017
Marko Kloos,The time has come to take the fight to the Lankies.,Paperback,Science Fiction,February,293,47North,4.33,Fields of Fire,2017
