,title,author,description,genre,rating,publisher,pages,format,date,url
10,A Better Man,Louise Penny,"Catastrophic spring flooding, blistering attacks in the media, and a mysterious disappearance greet Chief Inspector Armand Gamache as he returns to the Sûreté du Québec in the latest novel by #1 New York Times bestselling author Louise Penny.It's Gamache's first day back as head of the homicide department, a job he temporarily shares with his previous second-in-command,
Catastrophic spring flooding, blistering attacks in the media, and a mysterious disappearance greet Chief Inspector Armand Gamache as he returns to the Sûreté du Québec in the latest novel by #1 New York Times bestselling author Louise Penny.It's Gamache's first day back as head of the homicide department, a job he temporarily shares with his previous second-in-command, Jean-Guy Beauvoir. Floodwaters are rising across the province. In the middle of the turmoil, a father approaches Gamache, pleading for help in finding his daughter.As crisis piles upon crisis, Gamache tries to hold off the encroaching chaos, and realizes the search for Vivienne Godin should be abandoned. But with a daughter of his own, he finds himself developing a profound, and perhaps unwise, empathy for her distraught father.Increasingly hounded by the question, how would you feel..., he resumes the search.As the rivers rise, and the social media onslaught against Gamache becomes crueler, a body is discovered. And in the tumult, mistakes are made.In the next novel in this ""constantly surprising series that deepens and darkens as it evolves"" (The New York Times Book Review), Gamache must face a horrific possibility, and a burning question.What would you do if your child's killer walked free?",Mystery,4.33,Minotaur Books,437,Hardcover,"August 27th, 2019",https://www.goodreads.com/book/show/44034500-a-better-man?from_choice=true
11,The Family Upstairs,Lisa Jewell,"An alternative cover edition for this ISBN can be found here.Soon after her twenty-fifth birthday, Libby Jones returns home from work to find the letter shes been waiting for her entire life. She rips it open with one driving thought: I am finally going to know who I am. She soon learns not only the identity of her birth parents, but also that she is the sole inheritor of
An alternative cover edition for this ISBN can be found here.Soon after her twenty-fifth birthday, Libby Jones returns home from work to find the letter she’s been waiting for her entire life. She rips it open with one driving thought: I am finally going to know who I am. She soon learns not only the identity of her birth parents, but also that she is the sole inheritor of their abandoned mansion on the banks of the Thames in London’s fashionable Chelsea neighborhood, worth millions. Everything in Libby’s life is about to change. But what she can’t possibly know is that others have been waiting for this day as well—and she is on a collision course to meet them. Twenty-five years ago, police were called to 16 Cheyne Walk with reports of a baby crying. When they arrived, they found a healthy ten-month-old happily cooing in her crib in the bedroom. Downstairs in the kitchen lay three dead bodies, all dressed in black, next to a hastily scrawled note. And the four other children reported to live at Cheyne Walk were gone. The can’t-look-away story of three entangled families living in a house with the darkest of secrets.",Mystery,4.00,Atria Books,340,Hardcover,November 5th 2019,https://www.goodreads.com/book/show/43822820-the-family-upstairs?from_choice=true
12,The Chain,Adrian McKinty,"You just dropped off your child at the bus stop. A panicked stranger calls your phone. Your child has been kidnapped, and the stranger explains that their child has also been kidnapped, by a completely different stranger. The only way to get your child back is to kidnap another child within 24 hours. Your child will be released only when the next victim's parents kidnap
You just dropped off your child at the bus stop. A panicked stranger calls your phone. Your child has been kidnapped, and the stranger explains that their child has also been kidnapped, by a completely different stranger. The only way to get your child back is to kidnap another child within 24 hours. Your child will be released only when the next victim's parents kidnap yet another child, and most importantly, the stranger explains, if you don't kidnap a child, or if the next parents don't kidnap a child, your child will be murdered. You are now part of The Chain.",Thriller,3.81,Mulholland Books,357,Hardcover,"July 9th, 2019",https://www.goodreads.com/book/show/42779092-the-chain?from_choice=true
13,Disappearing Earth,Julia  Phillips,"Beautifully written, thought-provoking, intense and cleverly wrought, this is the most extraordinary first novel from a mesmerising new talent.One August afternoon, on the shoreline of the north-eastern edge of Russia, two sisters are abducted. In the ensuing weeks, then months, the police investigation turns up nothing. Echoes of the disappearance reverberate across a
Beautifully written, thought-provoking, intense and cleverly wrought, this is the most extraordinary first novel from a mesmerising new talent.One August afternoon, on the shoreline of the north-eastern edge of Russia, two sisters are abducted. In the ensuing weeks, then months, the police investigation turns up nothing. Echoes of the disappearance reverberate across a tightly woven community, with the fear and loss felt most deeply among its women.Set on the remote Siberian peninsula of Kamchatka, Disappearing Earth draws us into the world of an astonishing cast of characters, all connected by an unfathomable crime. We are transported to vistas of rugged beauty – densely wooded forests, open expanses of tundra, soaring volcanoes and the glassy seas that border Japan and Alaska – and into a region as complex as it is alluring, where social and ethnic tensions have long simmered, and where outsiders are often the first to be accused.In a story as propulsive as it is emotionally engaging, and through a young writer's virtuosic feat of empathy and imagination, this powerful novel provides a new understanding of the intricate bonds of family and community, in a Russia unlike any we have seen before.",Fiction,3.92,Knopf,264,Hardcover,"May 14th, 2019",https://www.goodreads.com/book/show/34563821-disappearing-earth?from_choice=true
14,Searching for Sylvie Lee,Jean Kwok,"A poignant and suspenseful drama that untangles the complicated ties binding three womentwo sisters and their motherin one Chinese immigrant family and explores what happens when the eldest daughter disappears, and a series of family secrets emerge, from the New York Times bestselling author of Girl in TranslationIt begins with a mystery. Sylvie, the beautiful, brilliant,
A poignant and suspenseful drama that untangles the complicated ties binding three women—two sisters and their mother—in one Chinese immigrant family and explores what happens when the eldest daughter disappears, and a series of family secrets emerge, from the New York Times bestselling author of Girl in TranslationIt begins with a mystery. Sylvie, the beautiful, brilliant, successful older daughter of the Lee family, flies to the Netherlands for one final visit with her dying grandmother—and then vanishes.Amy, the sheltered baby of the Lee family, is too young to remember a time when her parents were newly immigrated and too poor to keep Sylvie. Seven years older, Sylvie was raised by a distant relative in a faraway, foreign place, and didn’t rejoin her family in America until age nine. Timid and shy, Amy has always looked up to her sister, the fierce and fearless protector who showered her with unconditional love.But what happened to Sylvie? Amy and her parents are distraught and desperate for answers. Sylvie has always looked out for them. Now, it’s Amy’s turn to help. Terrified yet determined, Amy retraces her sister’s movements, flying to the last place Sylvie was seen. But instead of simple answers, she discovers something much more valuable: the truth. Sylvie, the golden girl, kept painful secrets . . . secrets that will reveal more about Amy’s complicated family—and herself—than she ever could have imagined.A deeply moving story of family, secrets, identity, and longing, Searching for Sylvie Lee is both a gripping page-turner and a sensitive portrait of an immigrant family. It is a profound exploration of the many ways culture and language can divide us and the impossibility of ever truly knowing someone—especially those we love.",Fiction,3.66,William Morrow,336,Hardcover,"June 4th, 2019",https://www.goodreads.com/book/show/41716679-searching-for-sylvie-lee?from_choice=true
15,I'll Never Tell,Catherine McKenzie,"Deeply buried secrets make for a disturbing family reunion in bestselling author Catherine McKenzies tantalizing novel of psychological suspense.What happened to Amanda Holmes?Twenty years ago, she was found bludgeoned in a rowboat at the MacAllister familys Camp Macaw. No one was ever charged with the crime.Now, after their parents sudden deaths, the MacAllister siblings
Deeply buried secrets make for a disturbing family reunion in bestselling author Catherine McKenzie’s tantalizing novel of psychological suspense.What happened to Amanda Holmes?Twenty years ago, she was found bludgeoned in a rowboat at the MacAllister family’s Camp Macaw. No one was ever charged with the crime.Now, after their parents’ sudden deaths, the MacAllister siblings return to camp to read the will and decide what to do with the prime real estate the camp occupies. Ryan needs to sell. Margaux hasn’t made up her mind. Mary believes in leaving well enough alone. Kate and Liddie—the twins—have opposing views. And Sean Booth, the groundskeeper, just hopes he still has a home when all is said and done.But it’s more complicated than a simple vote. The will stipulates that until they unravel the mystery of what happened to Amanda, they can’t settle the estate. Any one of them could have done it, and each one is holding a piece of the puzzle. Will they work together to finally discover the truth, or will their secrets finally tear the family apart?",Mystery,3.75,Lake Union Publishing,355,Hardcover,"June 1st, 2019",https://www.goodreads.com/book/show/41081925-i-ll-never-tell?from_choice=true
16,The Night Fire,Michael Connelly,"Harry Bosch and LAPD Detective Renee Ballard come together again on the murder case that obsessed Bosch's mentor, the man who trained him -- new from #1 New York Times bestselling author Michael Connelly  Back when Harry Bosch was just a rookie homicide detective, he had an inspiring mentor who taught him to take the work personally and light the fire of relentlessness for
Harry Bosch and LAPD Detective Renee Ballard come together again on the murder case that obsessed Bosch's mentor, the man who trained him -- new from #1 New York Times bestselling author Michael Connelly

Back when Harry Bosch was just a rookie homicide detective, he had an inspiring mentor who taught him to take the work personally and light the fire of relentlessness for every case. Now that mentor, John Jack Thompson, is dead, but after his funeral his widow hands Bosch a murder book that Thompson took with him when he left the LAPD 20 years before -- the unsolved killing of a troubled young man in an alley used for drug deals. Bosch brings the murder book to Renée Ballard and asks her to help him find what about the case lit Thompson's fire all those years ago. That will be their starting point. The bond between Bosch and Ballard tightens as they become a formidable investigation team. And they soon arrive at a worrying question: Did Thompson steal the murder book to work the case in retirement, or to make sure it never got solved?",Mystery,4.32,"Little, Brown and Company",405,Hardcover,"October 22nd, 2019",https://www.goodreads.com/book/show/43885041-the-night-fire?from_choice=true
17,The Last Widow,Karin Slaughter," New York Times bestselling author Karin Slaughter brings back Will Trent and Sara Linton in this superb and timely thriller full of devious twists, disturbing secrets, and shocking surprises you wont see comingA mysterious kidnappingOn a hot summer night, a scientist from the Centers for Disease Control is grabbed by unknown assailants in a shopping center parking lot.
 New York Times bestselling author Karin Slaughter brings back Will Trent and Sara Linton in this superb and timely thriller full of devious twists, disturbing secrets, and shocking surprises you won’t see comingA mysterious kidnappingOn a hot summer night, a scientist from the Centers for Disease Control is grabbed by unknown assailants in a shopping center parking lot. Vanished into thin air, the authorities are desperate to save the doctor. A devastating explosionOne month later, the serenity of a sunny Sunday afternoon is shattered by the boom of a ground-shaking blast—followed by another seconds later. One of Atlanta’s busiest and most important neighborhood’s has been bombed—the location of Emory University, two major hospitals, the FBI headquarters, and the CDC.A diabolical enemyMedical examiner Sara Linton and her partner Will Trent, an investigator with the Georgia Bureau of Investigation, rush to the scene—and into the heart of a deadly conspiracy that threatens to destroy thousands of innocent lives. When the assailants abduct Sara, Will goes undercover to save her and prevent a massacre—putting his own life on the line for the woman and the country he loves.",Thriller,4.08,William Morrow,446,Hardcover,"August 20th, 2019",https://www.goodreads.com/book/show/42599605-the-last-widow?from_choice=true
18,My Lovely Wife,Samantha  Downing,"Alternate cover edition of ISBN 9780451491725A couple's fifteen-year marriage has finally gotten too interesting...Our love story is simple. I met a gorgeous woman. We fell in love. We had kids. We moved to the suburbs. We told each other our biggest dreams, and our darkest secrets. And then we got bored.We look like a normal couple. We're your neighbors, the parents of
Alternate cover edition of ISBN 9780451491725A couple's fifteen-year marriage has finally gotten too interesting...Our love story is simple. I met a gorgeous woman. We fell in love. We had kids. We moved to the suburbs. We told each other our biggest dreams, and our darkest secrets. And then we got bored.We look like a normal couple. We're your neighbors, the parents of your kid's friend, the acquaintances you keep meaning to get dinner with.We all have secrets to keeping a marriage alive.Ours just happens to be getting away with murder.",Thriller,3.90,Berkley Books,374,Hardcover,"March 26th, 2019",https://www.goodreads.com/book/show/39796904-my-lovely-wife?from_choice=true
19,The Line Between,Tosca Lee,"An extinct disease re-emerges from the melting Alaskan permafrost to cause madness in its victims. For recent apocalyptic cult escapee Wynter Roth, its the end shed always been told was coming.When Wynter Roth is turned out of New Earth, a self-contained doomsday cult on the American prairie, she emerges into a world poised on the brink of madness as a mysterious outbreak
An extinct disease re-emerges from the melting Alaskan permafrost to cause madness in its victims. For recent apocalyptic cult escapee Wynter Roth, it’s the end she’d always been told was coming.When Wynter Roth is turned out of New Earth, a self-contained doomsday cult on the American prairie, she emerges into a world poised on the brink of madness as a mysterious outbreak of rapid early onset dementia spreads across the nation.As Wynter struggles to start over in a world she’s been taught to regard as evil, she finds herself face-to-face with the apocalypse she’s feared all her life—until the night her sister shows up at her doorstep with a set of medical samples. That night, Wynter learns there’s something far more sinister at play and that these samples are key to understanding the disease.Now, as the power grid fails and the nation descends into chaos, Wynter must find a way to get the samples to a lab in Colorado. Uncertain who to trust, she takes up with former military man Chase Miller, who has his own reasons for wanting to get close to the samples in her possession, and to Wynter herself.",Thriller,4.09,Howard Books,384,Hardcover,"January 29th, 2019",https://www.goodreads.com/book/show/38355304-the-line-between?from_choice=true
20,Daisy Jones & The Six,Taylor Jenkins Reid,"Everyone knows Daisy Jones & The Six: The band's album Aurora came to define the rock 'n' roll era of the late seventies, and an entire generation of girls wanted to grow up to be Daisy. But no one knows the reason behind the group's split on the night of their final concert at Chicago Stadium on July 12, 1979 . . . until now.Daisy is a girl coming of age in L.A. in
Everyone knows Daisy Jones & The Six: The band's album Aurora came to define the rock 'n' roll era of the late seventies, and an entire generation of girls wanted to grow up to be Daisy. But no one knows the reason behind the group's split on the night of their final concert at Chicago Stadium on July 12, 1979 . . . until now.Daisy is a girl coming of age in L.A. in the late sixties, sneaking into clubs on the Sunset Strip, sleeping with rock stars, and dreaming of singing at the Whisky a Go Go. The sex and drugs are thrilling, but it’s the rock 'n' roll she loves most. By the time she’s twenty, her voice is getting noticed, and she has the kind of heedless beauty that makes people do crazy things.Also getting noticed is The Six, a band led by the brooding Billy Dunne. On the eve of their first tour, his girlfriend Camila finds out she’s pregnant, and with the pressure of impending fatherhood and fame, Billy goes a little wild on the road.Daisy and Billy cross paths when a producer realizes that the key to supercharged success is to put the two together. What happens next will become the stuff of legend.The making of that legend is chronicled in this riveting and unforgettable novel, written as an oral history of one of the biggest bands of the seventies. Taylor Jenkins Reid is a talented writer who takes her work to a new level with Daisy Jones & The Six, brilliantly capturing a place and time in an utterly distinctive voice.",Historical,4.21,Ballantine Books,355,Hardcover,"March 5th, 2019",https://www.goodreads.com/book/show/40597810-daisy-jones-the-six?from_choice=true
21,The Nickel Boys,Colson Whitehead,"In this bravura follow-up to the Pulitzer Prize, and National Book Award-winning #1 New York Times bestseller The Underground Railroad, Colson Whitehead brilliantly dramatizes another strand of American history through the story of two boys sentenced to a hellish reform school in Jim Crow-era Florida.As the Civil Rights movement begins to reach the black enclave of
In this bravura follow-up to the Pulitzer Prize, and National Book Award-winning #1 New York Times bestseller The Underground Railroad, Colson Whitehead brilliantly dramatizes another strand of American history through the story of two boys sentenced to a hellish reform school in Jim Crow-era Florida.As the Civil Rights movement begins to reach the black enclave of Frenchtown in segregated Tallahassee, Elwood Curtis takes the words of Dr. Martin Luther King to heart: He is “as good as anyone.” Abandoned by his parents, but kept on the straight and narrow by his grandmother, Elwood is a high school senior about to start classes at a local college. But for a black boy in the Jim Crow South of the early 1960s, one innocent mistake is enough to destroy the future. Elwood is sentenced to a juvenile reformatory called the Nickel Academy, whose mission statement says it provides “physical, intellectual and moral training” so the delinquent boys in their charge can become “honorable and honest men.”In reality, the Nickel Academy is a grotesque chamber of horrors where the sadistic staff beats and sexually abuses the students, corrupt officials and locals steal food and supplies, and any boy who resists is likely to disappear “out back.” Stunned to find himself in such a vicious environment, Elwood tries to hold onto Dr. King’s ringing assertion “Throw us in jail and we will still love you.” His friend Turner thinks Elwood is worse than naive, that the world is crooked, and that the only way to survive is to scheme and avoid trouble.The tension between Elwood’s ideals and Turner’s skepticism leads to a decision with repercussions that will echo down the decades. Formed in the crucible of the evils Jim Crow wrought, the boys’ fates will be determined by what they endured at the Nickel Academy.Based on the real story of a reform school in Florida that operated for one hundred and eleven years and warped the lives of thousands of children, The Nickel Boys is a devastating, driven narrative that showcases a great American novelist writing at the height of his powers.",Fiction,4.25,Doubleday Books,213,Hardcover,"July 16th, 2019",https://www.goodreads.com/book/show/42279228-the-nickel-boys?from_choice=true
22,The Huntress,Kate Quinn,"From the author of the New York Times and USA Today bestselling novel, THE ALICE NETWORK, comes another fascinating historical novel about a battle-haunted English journalist and a Russian female bomber pilot who join forces to track the Huntress, a Nazi war criminal gone to ground in America. In the aftermath of war, the hunter becomes the hunted Bold and fearless, Nina
From the author of the New York Times and USA Today bestselling novel, THE ALICE NETWORK, comes another fascinating historical novel about a battle-haunted English journalist and a Russian female bomber pilot who join forces to track the Huntress, a Nazi war criminal gone to ground in America.
In the aftermath of war, the hunter becomes the hunted…
Bold and fearless, Nina Markova always dreamed of flying. When the Nazis attack the Soviet Union, she risks everything to join the legendary Night Witches, an all-female night bomber regiment wreaking havoc on the invading Germans. When she is stranded behind enemy lines, Nina becomes the prey of a lethal Nazi murderess known as the Huntress, and only Nina’s bravery and cunning will keep her alive.Transformed by the horrors he witnessed from Omaha Beach to the Nuremberg Trials, British war correspondent Ian Graham has become a Nazi hunter. Yet one target eludes him: a vicious predator known as the Huntress. To find her, the fierce, disciplined investigator joins forces with the only witness to escape the Huntress alive: the brazen, cocksure Nina. But a shared secret could derail their mission unless Ian and Nina force themselves to confront it.Growing up in post-war Boston, seventeen-year-old Jordan McBride is determined to become a photographer. When her long-widowed father unexpectedly comes homes with a new fiancée, Jordan is thrilled. But there is something disconcerting about the soft-spoken German widow. Certain that danger is lurking, Jordan begins to delve into her new stepmother’s past—only to discover that there are mysteries buried deep in her family . . . secrets that may threaten all Jordan holds dear.In this immersive, heart-wrenching story, Kate Quinn illuminates the consequences of war on individual lives, and the price we pay to seek justice and truth.  ",Historical,4.27,William Morrow,549,Hardcover,"February 26th, 2019",https://www.goodreads.com/book/show/40390766-the-huntress?from_choice=true
