author,description,format,genre,month,pages,publisher,rating,title,year,best_seller
Amor Towles,"When, in 1922, he is deemed an unrepentant aristocrat by a Bolshevik tribunal, the count is sentenced to house arrest in the Metropol, a grand hotel across the street from the Kremlin. Rostov, an indomitable man of erudition and wit, has never worked a day in his life, and must now live in an attic room while some of the most tumultuous decades in Russian history are unfol",Hardcover,Historical,September,462,Viking,4.36,A Gentleman in Moscow,2016.0,0
Emma Donoghue,"The Irish Midlands, 1859. An English nurse, Lib Wright, is summoned to a tiny village to observe what some are claiming as a medical anomaly or a miracle - a girl said to have survived without food for months. Tourists have flocked to the cabin of eleven-year-old Anna O'Donnell, and a journalist has come down to cover the sensation. ",Hardcover,Historical,September,291,"Little, Brown and Company",3.63,The Wonder,2016.0,0
Philippa Gregory,As sisters they share an everlasting bond; As queens they can break each other’s hearts.,Hardcover,Historical,August,556,Touchstone,3.76,"Three Sisters, Three Queens",2016.0,0
Helen Simonson,The bestselling author of Major Pettigrew's Last Stand returns with a breathtaking novel of love and war that reaches far beyond the small English town in which it is set.,Hardcover,Historical,March,481,Random House,3.79,The Summer Before the War,2016.0,0
Melanie Benjamin,"<b>From the New York Times bestselling author of The Aviator’s Wife comes an enthralling new novel about Truman Capote’s scandalous, headline-making, and heart-wrenching friendship with Babe Paley and New York’s society “swans” of the 1950s.</b>",Hardcover,Historical,January,368,Delacorte Press,3.59,The Swans of Fifth Avenue,2016.0,0
Alexander Chee,"Lilliet Berne is a sensation of the Paris Opera, a legendary soprano with every accolade except an original role, every singer’s chance at immortality. When one is finally offered to her, she realizes with alarm that the libretto is based on a hidden piece of her past. Only four could have betrayed her: one is dead, one loves her, one wants to own her. And one, she hopes,",Hardcover,Fiction,February,561,Houghton Mifflin Harcourt,3.43,The Queen of the Night,2016.0,0
Graham Moore,"New York, 1888. Gas lamps still flicker in the city streets, but the miracle of electric light is in its infancy. The person who controls the means to turn night into day will make history--and a vast fortune. A young untested lawyer named Paul Cravath, fresh out of Columbia Law School, takes a case that seems impossible to win. Paul's client, George Westinghouse, has been",Hardcover,Historical,August,371,Random House,4.14,The Last Days of Night,2016.0,0
Weina Dai Randel,<i>There is no easy path for a woman aspiring to power. . . .</i>,Paperback,Historical,March,395,Sourcebooks Landmark,3.83,The Moon in the Palace,2016.0,0
Eowyn Ivey,Set again in the Alaskan landscape that she brought to stunningly vivid life in ,Hardcover,Historical,August,417,"Little, Brown and Company",4.15,To The Bright Edge of the World,2016.0,0
Kathleen Grissom,The latest ,Hardcover,Historical,April,365,Simon  Schuster,4.24,Glory Over Everything: Beyond The Kitchen House,2016.0,0
Paulette Jiles,"In the aftermath of the Civil War, an aging itinerant news reader agrees to transport a young captive of the Kiowa back to her people in this exquisitely rendered, morally complex, multilayered novel of historical fiction from the author of ",Hardcover,Historical,October,209,William Morrow,4.09,News of the World,2016.0,0
Jennifer S. Brown,<b>A dazzling debut novel set in New York City’s Jewish immigrant community in 1935...</b>,Paperback,Historical,May,384,Berkley Books,3.91,Modern Girls,2016.0,0
Shawna Yang Ryan,"<b>A stunning story of love, betrayal, and family, set against the backdrop of a changing Taiwan over the course of the twentieth century.</b>",Hardcover,Historical,February,400,Knopf,3.99,Green Island,2016.0,0
Lynda Cohen Loigman,"Brooklyn, 1947: in the midst of a blizzard, in a two-family brownstone, two babies are born minutes apart to two women. They are sisters by marriage with an impenetrable bond forged before and during that dramatic night; but as the years progress, small cracks start to appear and their once deep friendship begins to unravel. No one knows why, and no one can stop it. One mi",Hardcover,Historical,March,290,St. Martin's Press,3.93,The Two-Family House,2016.0,0
John Tiffany,"Based on an original new story by J.K. Rowling, Jack Thorne and John Tiffany, a new play by Jack Thorne, ",Hardcover,Fantasy,July,343,"Little, Brown",3.69,Harry Potter and the Cursed Child: Parts One and Two,2016.0,0
V.E. Schwab,"It has been four months since a mysterious obsidian stone fell into Kell's possession. Four months since his path crossed with Delilah Bard. Four months since Prince Rhy was wounded, and since the nefarious Dane twins of White London fell, and four months since the stone was cast with Holland's dying body through the rift--back into Black London.",Hardcover,Fantasy,February,512,Tor Books,4.31,A Gathering of Shadows,2016.0,0
Brandon Sanderson,"<b>From #1 New York Times bestselling author Brandon Sanderson, the Mistborn series is a heist story of political intrigue and magical, martial-arts action. </b>",Hardcover,Fantasy,January,447,Tor Books,4.45,The Bands of Mourning,2016.0,0
Karen Marie Moning,"In Karen Marie Moning’s latest installment of the epic #1 New York Times bestselling Fever series, the stakes have never been higher and the chemistry has never been hotter. Hurtling us into a realm of labyrinthine intrigue and consummate seduction, FEVERBORN is a riveting tale of ancient evil, lust, betrayal, forgiveness and the redemptive power of love.",Hardcover,Fantasy,January,436,Delacorte Press,4.2,Feverborn,2016.0,0
Patricia Briggs,"Tensions between the fae and humans are coming to a head. And when coyote shapeshifter Mercy and her Alpha werewolf mate, Adam, are called upon to stop a rampaging troll, they find themselves with something that could be used to make the fae back down and forestall out-and-out war: a human child stolen long ago by the fae.",Hardcover,Fantasy,March,342,Ace,4.37,Fire Touched,2016.0,0
Charlie Jane Anders,<b>A novel about the end of the world--and the beginning of our future</b>,Hardcover,Fantasy,January,313,Tor Books,3.58,All the Birds in the Sky,2016.0,0
Ilona Andrews,Mercenary Kate Daniels knows all too well that magic in post-Shift Atlanta is a dangerous business. But nothing she’s faced could have prepared her for this…,Hardcover,Fantasy,September,328,Ace,4.57,Magic Binds,2016.0,0
Amy Harmon,"<i>Swallow, Daughter, pull them in, those words that sit upon your lips. Lock them deep inside your soul, hide them ‘til they’ve time to grow. Close your mouth upon the power, curse not, cure not, ‘til the hour. You won’t speak and you won’t tell, you won’t call on heav’n or hell. You will learn and you will thrive. Silence, Daughter. Stay alive.</i>",Paperback,Fantasy,May,352,CreateSpace,4.25,The Bird and the Sword,2016.0,0
Anne Bishop,"<b>For centuries, the Others and humans have lived side by side in uneasy peace. But when humankind oversteps its bounds, the Others will have to decide how much humanity they’re willing to tolerate—both within themselves and within their community...</b>",Hardcover,Fantasy,March,399,Roc,4.3,Marked in Flesh,2016.0,0
Darynda Jones,"As a part-time PI and full-time grim reaper, Charley Davidson has asked a lot of questions throughout her life: ",Hardcover,Fantasy,June,342,St. Martin's Press,4.4,The Curse of Tenth Grave,2016.0,0
N.K. Jemisin,<b>THIS IS THE WAY THE WORLD ENDS... FOR THE LAST TIME.</b>,Paperback,Fantasy,August,410,Orbit,4.34,The Obelisk Gate,2016.0,0
Ken Liu,A publishing event: Bestselling author Ken Liu selects his award-winning science fiction and fantasy tales for a groundbreaking collection—including a brand-new piece exclusive to this volume.,Hardcover,Short Stories,March,450,Saga Press,4.39,The Paper Menagerie and Other Stories,2016.0,0
Michael J. Sullivan,Age of Myth inaugurates another six-book series set in Elan.,Hardcover,Fantasy,June,432,Del Rey,4.25,Age of Myth,2016.0,0
Kevin Hearne,"<b>Iron Druid Atticus O'Sullivan, hero of Kevin Hearne's epic <i>New York Times</i> bestselling urban fantasy series, has a point to make—and then drive into a vampire's heart.</b>",Hardcover,Fantasy,January,310,Del Rey,4.24,Staked,2016.0,0
Daniel O'Malley,"In this spirited sequel, The Rook returns to clinch an alliance between deadly rivals and avert epic—and slimy—supernatural war.",Hardcover,Fantasy,June,583,"Little, Brown, and Company",4.15,Stiletto,2016.0,0
Seanan McGuire,<b>Eleanor West’s Home for Wayward Children</b>,Hardcover,Fantasy,April,170,Tor.com,3.86,Every Heart a Doorway,2016.0,0
Mark  Lawrence,"<b>From the international bestselling author of the Broken Empire Trilogy, the thrilling conclusion to the Red Queen’s War...</b>",Hardcover,Fantasy,June,656,Harper Voyager,4.34,The Wheel of Osheim,2016.0,0
Karpov Kinrade,"From USA TODAY bestselling author, Karpov Kinrade, comes a new series that will suck you in and leave you wanting more. For fans of Twilight, A Shade of Vampire, and Outlander comes a fantasy romance with an original twist on an old tale.",Paperback,Fantasy,April,270,Daring Books,4.05,Vampire Girl,2016.0,0
Brent Weeks,"Stripped of both magical and political power, the people he once ruled told he's dead, and now imprisoned in his own magical dungeon, former Emperor Gavin Guile has no prospect of escape. But the world faces a calamity greater than the Seven Satrapies has ever seen... and only he can save it.",Hardcover,Fantasy,October,704,Orbit,4.32,The Blood Mirror,2016.0,0
Robert Jackson Bennett,"A generation ago, the city of Voortyashtan was the stronghold of the god of war and death, the birthplace of fearsome supernatural sentinels who killed and subjugated millions.",Paperback,Fantasy,January,484,Broadway Books,4.22,City of Blades,2016.0,0
Colleen Hoover,Sometimes it is the one who loves you who hurts you the most.,Paperback,Romance,August,376,Atria Books,4.41,It Ends with Us,2016.0,0
Robert Thier,"Freedom—that is what Lilly Linton wants most in life. Not marriage, not a brood of squalling brats, and certainly not love, thank you very much!",ebook,Romance,March,765,Robert Thier,4.51,Storm and Silence,2016.0,0
Nora Roberts,"<i>“She stood in the deep, dark woods, breath shallow and cold prickling over her skin despite the hot, heavy air. She took a step back, then two, as the urge to run fell over her.” </i>",Hardcover,Romance,April,453,Berkley,4.19,The Obsession,2016.0,0
J.R. Ward,"Nothing is as it used to be for the Black Dagger Brotherhood. After avoiding war with the Shadows, alliances have shifted and lines have been drawn. The slayers of the Lessening Society are stronger than ever, preying on human weakness to acquire more money, more weapons, more power. But as the Brotherhood readies for an all-out attack on them, one of their own fights a ba",Hardcover,Fantasy,April,508,NAL,4.45,The Beast,2016.0,0
Sylvia Day,Gideon Cross. Falling in love with him was the easiest thing I've ever done. It happened instantly. Completely. Irrevocably.,Paperback,Romance,April,464,St. Martin's Griffin,4.08,One with You,2016.0,0
Julia Quinn,<i>Sometimes you find love in the most unexpected of places...</i>,Mass Market Paperback,Romance,March,375,Avon,3.87,Because of Miss Bridgerton,2016.0,0
C.S. Pacat,<i>Damianos of Akielos has returned</i>,Paperback,Fantasy,February,352,Berkley,4.48,Kings Rising,2016.0,0
Erin Watt,THESE ROYALS WILL RUIN YOU...,Paperback,Romance,April,364,Everafter Romance,4.03,Paper Princess,2016.0,0
Sally  Thorne,<blockquote> <i>Nemesis (n.) <br/>1) An opponent or rival whom a person cannot best or overcome;<br/>2) A person’s undoing;<br/>3) Joshua Templeman.</i> </blockquote>,Paperback,Romance,August,384,William Morrow Paperbacks,4.22,The Hating Game,2016.0,0
Penny Reid,"<i> <b>Make a deal with the devil and you might get what you want, but will it be what you need?</b> </i>",Kindle Edition,Romance,October,386,Cipher-Naught,4.48,Beard Science,2016.0,0
Elle Kennedy,"He knows how to score, on and off the ice",Paperback,New Adult,January,360,Createspace Independent Publishing Platform,4.26,The Score,2016.0,0
Mariana Zapata,<b>16 hrs</b>,Paperback,Romance,March,672,Mariana Zapata,4.34,The Wall of Winnipeg and Me,2016.0,0
Sherrilyn Kenyon,<i>“It’s official Take a Psycho to Work Day. Why else would I be here?”</i>,Hardcover,Romance,June,726,St. Martin's Press,4.55,Born of Legend,2016.0,0
Jamie McGuire,"Fresh out of college, Ellison Edson has fallen through the cracks of rock bottom. While staying in her family’s vacation home in Colorado, her behavior has finally gained the attention of her parents—but not in the way she hoped. Cut off from the millions she’s always taken for granted, and left alone to fend for herself, Ellie spirals further out of control, making a mist",Paperback,Romance,January,304,Createspace Independent Publishing Platform,4.1,Beautiful Burn,2016.0,0
Vi Keeland,<b>Four consecutive weeks on the New York Times and #1 in Romance. </b>,Paperback,Romance,April,328,Everafter Romance,4.13,Stuck-Up Suit,2016.0,0
Lauren Blakely,"It's not just the motion of the ocean, ladies. It's definitely the SIZE of the boat too. ",Paperback,Romance,January,235,EverAfter Platinum,3.95,Big Rock,2016.0,0
Penelope Ward,"Sharing a summer house with a hot-as-hell roommate should be a dream come true, right? ",Paperback,Romance,February,280,Createspace Independent Publishing Platform,4.05,RoomHate,2016.0,0
Penelope Douglas,"""We were perfect together. Until we met."" ",Paperback,Romance,October,342,CreateSpace,4.2,Punk 57,2016.0,0
T.S. Joyce,****Don't miss the epic finale of T. S. Joyce's bestselling Harper's Mountains series**** ,Kindle Edition,Fantasy,August,214,Wicked Willow Press,4.56,Blackwing Dragon,2016.0,0
T.M. Frazier,"Samuel Clearwater, A.K.A Preppy, likes bowties, pancakes, suspenders, good friends, good times, good drugs, and a good f*ck. ",Paperback,Dark,October,300,Everafter Romance,4.6,"Preppy: The Life and Death of Samuel Clearwater, Part One",2016.0,0
Pierce Brown,#1 NEW YORK TIMES BESTSELLER • Red Rising thrilled readers and announced the presence of a talented new author. Golden Son changed the game and took the story of Darrow to the next level. Now comes the exhilarating conclusion to the Red Rising Trilogy: Morning Star.,Hardcover,Science Fiction,February,524,Del Rey,4.49,Morning Star,2016.0,0
Blake Crouch,“Are you happy with your life?” ,Hardcover,Science Fiction,July,342,Crown,4.1,Dark Matter,2016.0,0
Claudia Gray,<b>Witness the birth of the Resistance</b>,Hardcover,Media Tie In,May,332,LucasBooks,4.06,Bloodline,2016.0,0
Terry Pratchett,"2070-71. Nearly six decades after Step Day and in the Long Earth, the new Next post-human society continues to evolve. ",Hardcover,Science Fiction,June,377,Harper,3.85,The Long Cosmos,2016.0,0
Julie McElwain,"Beautiful and brilliant, Kendra Donovan is a rising star at the FBI. Yet her path to professional success hits a speed bump during a disastrous raid where half her team is murdered, a mole in the FBI is uncovered and she herself is severely wounded. As soon as she recovers, she goes rogue and travels to England to assassinate the man responsible for the deaths of her teamm",Hardcover,Mystery,April,498,Pegasus Books,3.74,A Murder in Time,2016.0,0
Sylvain Neuvel,"A girl named Rose is riding her new bike near home in Deadwood, South Dakota, when she falls through the earth. She wakes up at the bottom of a square-shaped hole, its walls glowing with intricate carvings. But the firemen who come to save her peer down upon something even stranger: a little girl in the palm of a giant metal hand.",Hardcover,Science Fiction,April,320,Del Rey,3.85,Sleeping Giants,2016.0,0
Alexandra Oliva,Survival is the name of the game as the line blurs between reality TV and reality itself in Alexandra Oliva’s fast-paced novel of suspense.,Hardcover,Fiction,July,304,Ballantine Books,3.63,The Last One,2016.0,0
Jodi Taylor,'I've done some stupid things in my time. I've been reckless. I've broken a few rules. But never before have I ruined so many lives or left such a trail of destruction behind me.',Paperback,Science Fiction,May,397,Accent Press,4.43,"Lies, Damned Lies, and History",2016.0,0
Ben H. Winters,"<b> <blockquote>It is the present-day, and the world is as we know it: smartphones, social networking and Happy Meals. Save for one thing: the Civil War never occurred.</blockquote> </b>",Hardcover,Fiction,July,336,Mulholland Books,3.84,Underground Airlines,2016.0,0
Connie Willis,"Science fiction icon Connie Willis brilliantly mixes a speculative plot, the wit of Nora Ephron, and the comedic flair of P. G. Wodehouse in ",Hardcover,Science Fiction,October,498,Del Rey,3.52,Crosstalk,2016.0,0
Lois McMaster Bujold,Cordelia Naismith Vorkosigan returns to the planet that changed her destiny.,Hardcover,Science Fiction,February,344,Baen,3.81,Gentleman Jole and the Red Queen,2016.0,0
Liu Cixin,With ,Hardcover,Science Fiction,September,604,TOR,4.45,Death's End,2010.0,0
Lindsay Buroker,"The Alliance has toppled the tyrannical empire. It should be a time for celebration, but not for fighter pilot Captain Alisa Marchenko. After barely surviving a crash in the final battle for freedom, she's stranded on a dustball of a planet, billions of miles from her young daughter. She has no money or resources, and there are no transports heading to Perun, her former ho",Paperback,Science Fiction,June,228,Createspace Independent Publishing Platform,3.98,Star Nomad,2016.0,0
Ada Palmer,"Mycroft Canner is a convict. For his crimes he is required, as is the custom of the 25th century, to wander the world being as useful as he can to all he meets. Carlyle Foster is a sensayer – a spiritual counselor in a world that has outlawed the public practice of religion, but which also knows that the inner lives of humans cannot be wished away.",Hardcover,Science Fiction,May,432,Tor Books,3.83,Too Like the Lightning,2016.0,0
Becky Chambers,"Lovelace was once merely a ship's artificial intelligence. When she wakes up in an new body, following a total system shut-down and reboot, she has no memory of what came before. As Lovelace learns to negotiate the universe and discover who she is, she makes friends with Pepper, an excitable engineer, who's determined to help her learn and grow.",Hardcover,Science Fiction,October,365,Hodder & Stoughton,4.36,A Closed and Common Orbit,2016.0,0
Marcus Sakey,<b>The explosive conclusion to the bestselling Brilliance Trilogy</b>,Paperback,Science Fiction,January,337,Thomas & Mercer,4.18,Written in Fire,2016.0,0
Peter F. Hamilton,"The planet Bienvenido is in crisis. It has finally escaped the Void, emerging into regular space. But it's millions of light-years from Commonwealth assistance, and humans are battling the Fallers for control of their world. This rapacious adversary, evolved to destroy all sentient life, has infiltrated every level of human society - hijacking unwilling bodies so its citiz",Hardcover,Science Fiction,September,704,Del Rey,4.41,A Night Without Stars,2016.0,0
Jennifer Foehner Wells,"In defiance of NASA, Jane Holloway, the linguist of the Providence expedition, commandeers the alien ship that crew explored. She sets off to return that ship’s marooned navigator to his home world, determined to discover who was behind the genocide that destroyed his original crew. ",Paperback,Science Fiction,March,490,Blue Bedlam Science Fiction,4.06,Remanence,2016.0,0
Yoon Ha Lee,"The first installment of the trilogy, ",Paperback,Science Fiction,June,319,Solaris,3.86,Ninefox Gambit,2016.0,0
William Hertling,"By day, Angie, a twenty-year veteran of the tech industry, is a data analyst at Tomo, the world's largest social networking company; by night, she exploits her database access to profile domestic abusers and kill the worst of them. She can't change her own traumatic past, but she can save other women. ",Paperback,Science Fiction,June,306,Liquididea Press,4.13,Kill Process,2016.0,0
Joe Hill,"From the award-winning, ",Hardcover,Horror,May,752,William Morrow,3.9,The Fireman,2016.0,0
Dot Hutchison,Near an isolated mansion lies a beautiful garden.,Paperback,Thriller,June,276,Thomas & Mercer,4.06,The Butterfly Garden,2016.0,0
Justin Cronin,The world we knew is gone. What world will rise in its place? ,Hardcover,Horror,May,602,Ballantine Books,4.2,The City of Mirrors,2016.0,0
Lisa Unger,In this explosive psychological thriller by ,Hardcover,Mystery,June,342,Touchstone,3.75,Ink and Bone,2016.0,0
Dan Wells,"John and Brooke are on their own, hitchhiking from town to town as they hunt the last of the Withered through the midwest— but the Withered are hunting them back, and the FBI is close behind. With each new town, each new truck stop, each new highway, they get closer to a vicious killer who defies every principle of profiling and prediction John knows how to use, and meanwh",Paperback,Horror,May,303,Tor Books,4.07,Over Your Dead Body,2016.0,0
Grady Hendrix,"1988. Charleston, South Carolina. High school sophomores Abby and Gretchen have been best friends since fourth grade. . But after an evening of skinny-dipping goes disastrously wrong, Gretchen begins to act… different. She’s moody. She’s irritable. And bizarre incidents keep happening whenever she’s nearby. ",Hardcover,Horror,May,336,Quirk Books,3.91,My Best Friend's Exorcism,2016.0,0
M.R. Carey,Fellside is a maximum security prison on the edge of the Yorkshire Moors. It's not the kind of place you'd want to end up. But it's where Jess Moulson could be spending the rest of her life.,Hardcover,Horror,April,486,Orbit,3.56,Fellside,2016.0,0
Matt Ruff,"The critically acclaimed cult novelist makes visceral the terrors of life in Jim Crow America and its lingering effects in this brilliant and wondrous work of the imagination that melds historical fiction, pulp noir, and Lovecraftian horror and fantasy",Hardcover,Horror,February,372,Harper,4.07,Lovecraft Country,2016.0,0
John Connolly,"Jerome Burnel was once a hero. He intervened to prevent multiple killings and in doing so damned himself. His life was torn apart. He was imprisoned, brutalized.",Hardcover,Thriller,April,480,Hodder & Stoughton,4.31,A Time of Torment,2016.0,0
Samantha Hunt,"A contemporary gothic from an author in the company of Kelly Link and Aimee Bender, ",Hardcover,Fiction,January,322,Houghton Mifflin Harcourt,3.65,Mr. Splitfoot,2016.0,0
Amanda Stevens,<b>My name is Amelia Gray. I'm the Graveyard Queen.</b>,Paperback,Fantasy,March,384,Mira,4.05,The Visitor,2016.0,0
Victor LaValle,People move to New York looking for magic and nothing will convince them it isn't there.,Paperback,Horror,February,149,Tor.com,3.9,The Ballad of Black Tom,2016.0,0
Charles Stross,"Alex Schwartz had a promising future - until he contracted an unfortunate bout of vampirism, and agreed (on pain of death) to join the Laundry, Britain's only counter-occult secret agency.",Hardcover,Fantasy,June,352,Orbit,4.23,The Nightmare Stacks,2016.0,0
