author,description,format,genre,month,pages,publisher,rating,title,year
Delia Owens,"<b>A novel about a young woman determined to make her way in the wilds of North Carolina, and the two men that will break her isolation open.</b>",Hardcover,Fiction,August,384,G.P. Putnam's Sons,4.53,Where the Crawdads Sing,2018
Chanel Cleeton,"After the death of her beloved grandmother, a Cuban-American woman travels to Havana, where she discovers the roots of her identity--and unearths a family secret hidden since the revolution...",Paperback,Historical,February,361,Penguin/Berkley,4.01,Next Year in Havana,2018
Jennifer Zeynab Joukhadar,The story of two girls living eight hundred years apart—a modern-day Syrian refugee seeking safety and a medieval adventurer apprenticed to a legendary mapmaker.,Hardcover,Historical,May,361,Touchstone,3.89,The Map of Salt and Stars,2018
Kate Atkinson,"In 1940, eighteen-year old Juliet Armstrong is reluctantly recruited into the world of espionage. Sent to an obscure department of MI5 tasked with monitoring the comings and goings of British Fascist sympathizers, she discovers the work to be by turns both tedious and terrifying. But after the war has ended, she presumes the events of those years have been relegated to the",Hardcover,Historical,September,352,"Little, Brown and Company                          (first published September 6th 2018",3.60,Transcription,2018
Michael Ondaatje,<b>A novel that tells a story set in the decade after World War II through the lives of a small group of characters and two teenagers whose lives are indelibly shaped by their unwitting involvement.</b>,Hardcover,Historical,May,285,Knopf Publishing Group,3.73,Warlight,2018
Beatriz Williams,<i>New York Times</i>,Hardcover,Historical,July,384,William Morrow                          (first published July 3rd 2018,3.75,The Summer Wives,2018
Stephanie Dray,<i>A general’s daughter…</i>,Hardcover,Historical,April,641,William Morrow,4.27,My Dear Hamilton,2018
Barbara Kingsolver,The ,Hardcover,Fiction,October,464,Harper,3.69,Unsheltered,2018
Rhys Bowen,<b>A novel about a woman who braves her father’s hidden past to discover his secrets…</b>,Hardcover,Historical,February,336,Lake Union Publishing,3.98,The Tuscan Child,2018
Ingrid Rojas Contreras,"In the vein of Isabel Allende and Gabriel Garcia Marquez, a mesmerizing debut set against the backdrop of the devastating violence of 1990's Colombia about a sheltered young girl and a teenage maid who strike an unlikely friendship that threatens to undo them both.",Hardcover,Fiction,July,304,Doubleday,3.96,Fruit of the Drunken Tree,2018
Paula McLain,"The bestselling author of The Paris Wife returns to the subject of Ernest Hemingway in a novel about his passionate, stormy marriage to Martha Gellhorn—a fiercely independent, ambitious young woman who would become one of the greatest war correspondents of the twentieth century",Hardcover,Historical,May,389,Ballantine Books,3.84,Love and Ruin,2018
Eoin Dempsey,"<b>In the shadows of World War II, trust becomes the greatest risk of all for two strangers.</b>",Paperback,Historical,March,270,Lake Union Publishing,4.12,"White Rose, Black Forest",2018
Bernard Cornwell,"Bernard Cornwell’s epic story of the making of England continues in this eleventh installment in the bestselling Saxon Tales series—""like ",Hardcover,Historical,October,352,Harper,4.35,War of the Wolf,2018
Susanna Kearsley,"<em> <strong>""The house, when I first saw it, seemed intent on guarding what it knew; but we all learned, by the end of it, that secrets aren't such easy things to keep.""</strong> </em>",Hardcover,Historical,August,448,Sourcebooks Landmark                          (first published August 6th 2018,3.98,Bellewether,2018
Robert Dugoni,<b>From #1 <i>Wall Street Journal</i> and <i>New York Times</i> bestselling author Robert Dugoni.</b>,Hardcover,Fiction,April,448,Lake Union Publishing,4.36,The Extraordinary Life of Sam Hell,2018
Rebecca Makkai,"A dazzling new novel of friendship and redemption in the face of tragedy and loss set in 1980s Chicago and contemporary Paris, by the acclaimed and award-winning author Rebecca Makkai.",Hardcover,Fiction,June,421,Viking,4.12,The Great Believers,2018
Madeline Miller,"In the house of Helios, god of the sun and mightiest of the Titans, a daughter is born. But Circe is a strange child—not powerful, like her father, nor viciously alluring like her mother. Turning to the world of mortals for companionship, she discovers that she does possess power—the power of witchcraft, which can transform rivals into monsters and menace the gods themselv",Hardcover,Fantasy,April,393,"Little, Brown and Company",4.34,Circe,2018
Guillermo del Toro,"It is 1962, and Elisa Esposito—mute her whole life, orphaned as a child—is struggling with her humdrum existence as a janitor working the graveyard shift at Baltimore’s Occam Aerospace Research Center. Were it not for Zelda, a protective coworker, and Giles, her loving neighbor, she doesn’t know how she’d make it through the day.",Hardcover,Fantasy,March,315,Feiwel & Friends                          (first published February 2018,3.96,The Shape of Water,2018
Naomi Novik,"Miryem is the daughter and granddaughter of moneylenders, but her father's inability to collect his debts has left his family on the edge of poverty--until Miryem takes matters into her own hands. Hardening her heart, the young woman sets out to claim what is owed and soon gains a reputation for being able to turn silver into gold. ",Hardcover,Fantasy,July,466,Del Rey,4.31,Spinning Silver,2018
Nora Roberts,It began on New Year's Eve.,Hardcover,Fantasy,December,419,St. Martin's Press,4.06,Year One,2017
Ilona Andrews,"<b>No day is ordinary in a world where Technology and Magic compete for supremacy…But no matter which force is winning, in the apocalypse, a sword will always work.</b>",Trade Paperback,Fantasy,June,380,"Nancy Yost Literary Agency, Inc",4.45,Iron and Magic,2018
R.F. Kuang,"When Rin aced the Keju—the Empire-wide test to find the most talented youth to learn at the Academies—it was a shock to everyone: to the test officials, who couldn’t believe a war orphan from Rooster Province could pass without cheating; to Rin’s guardians, who believed they’d finally be able to marry her off and further their criminal enterprise; and to Rin herself, who r",Hardcover,Fantasy,May,530,Harper Voyager,4.06,The Poppy War,2018
Seanan McGuire,<i>Beneath the Sugar Sky</i>,Hardcover,Fantasy,January,174,tor.com,4.07,Beneath the Sugar Sky,2018
Karen Marie Moning,There is no action without consequence…,Hardcover,Fantasy,March,479,Delacorte Press,4.33,High Voltage,2018
Patricia Briggs,"In her bestselling Alpha and Omega series, Patricia Briggs “spins tales of werewolves, coyote shifters, and magic and, my, does she do it well” (USATODAY.com). Now mated werewolves Charles Cornick and Anna Latham face a threat like no other–one that lurks too close to home…",Hardcover,Fantasy,March,308,Ace,4.28,Burn Bright,2018
Mark  Lawrence,<b>The second novel in a brilliant fantasy series from the international bestselling author of <i>Prince of Thorns</i>.</b>,Hardcover,Fantasy,April,432,Ace Books,4.46,Grey Sister,2018
Peng Shepherd,"<b>Set in a dangerous near future world, <i>The Book of M</i> tells the captivating story of a group of ordinary people caught in an extraordinary catastrophe who risk everything to save the ones they love. It is a sweeping debut that illuminates the power that memories have not only on the heart, but on the world itself.</b>",Hardcover,Fantasy,June,485,William Morrow,3.74,The Book of M,2018
Katherine Arden,"<b>The magical adventure begun in <i>The Bear and the Nightingale</i> continues as brave Vasya, now a young woman, is forced to choose between marriage or life in a convent and instead flees her home—but soon finds herself called upon to help defend the city of Moscow when it comes under siege.</b>",Hardcover,Fantasy,December,363,Del Rey,4.42,The Girl in the Tower,2017
Michael J. Sullivan,"<b>Rich in magic and adventure, Michael J. Sullivan’s soaring fantasy novels are masterworks of heroism, love, and sacrifice. Now, in Age of War, the epic battle between humankind and the cruel godlike beings who once ruled them finally ignites in all its fury.</b>",Hardcover,Fantasy,July,420,Del Rey Books,4.45,Age of War,2018
Aleron Kong,In ,Hardcover,Fantasy,,1132,Tamori Publications LLC,4.59,The Land: Predators,
Deborah Harkness,"<b>From the #1 <i>New York Times</i> bestselling author of <i>A Discovery of Witches</i>, a novel about what it takes to become a vampire. </b>",Hardcover,Fantasy,September,436,Viking,3.89,Time's Convert,2018
Ilona Andrews,"<b>Mercenary Kate Daniels must risk all to protect everything she holds dear in this epic, can't-miss entry in the thrilling #1 <i>New York Times</i> bestselling urban fantasy series.</b>",Hardcover,Fantasy,August,327,Ace,4.59,Magic Triumphs,2018
Josiah Bancroft,"The Tower of Babel is the greatest marvel in the world. Immense as a mountain, the ancient Tower holds unnumbered ringdoms, warring and peaceful, stacked one on the other like the layers of a cake. It is a world of geniuses and tyrants, of airships and steam engines, of unusual animals and mysterious machines.",Paperback,Fantasy,January,448,Orbit                          (first published February 18th 2013,4.23,Senlin Ascends,2013
Brian  McClellan,"The country is in turmoil. With the capital city occupied, half a million refugees are on the march, looking for safety on the frontier, accompanied by Lady Flint's soldiers. But escaping war is never easy, and soon the battle may find them, whether they are prepared or not.",Paperback,Fantasy,May,639,Orbit,4.56,Wrath of Empire,2018
Robert Jackson Bennett,"<i>In a city that runs on industrialized magic, a secret war will be fought to overwrite reality itself--the first in a dazzling new fantasy series from </i>",Hardcover,Fantasy,August,505,Crown Publishing Group (NY,4.32,Foundryside,2018
Nicholas Eames,"Live fast, die young.",Paperback,Fantasy,August,515,Orbit,4.32,Bloody Rose,2018
Angie Thomas,<b>A three-time winner of Goodreads Choice Awards</b>,Hardcover,Young Adult,February,444,Balzer + Bray,4.55,The Hate U Give,2017
Anthony Doerr,"<i>An alternate cover for this ISBN can be found <a href=""https://www.goodreads.com/book/show/25210408-all-the-light-we-cannot-see"" rel=""nofollow"">here</a></i>",Hardcover,Historical,May,531,Scribner,4.33,All the Light We Cannot See,2014
Sarah J. Maas,"Feyre survived Amarantha's clutches to return to the Spring Court—but at a steep cost. Though she now has the powers of the High Fae, her heart remains human, and it can't forget the terrible deeds she performed to save Tamlin's people.",Hardcover,Fantasy,May,624,Bloomsbury USA Childrens,4.69,A Court of Mist and Fury,2016
Kathryn Stockett,Be prepared to meet three unforgettable women:,Hardcover,Fiction,February,465,Amy Einhorn Books,4.46,The Help,2009
Kristin Hannah,<i>In love we find out who we want to be. In war we find out who we are.</i>,Hardcover,Historical,February,440,St. Martin's Press,4.56,The Nightingale,2015
Andy Weir,"Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. ",Hardcover,Science Fiction,February,369,Crown                          (first published September 27th 2012,4.40,The Martian,2012
Gillian Flynn,"On a warm summer morning in North Carthage, Missouri, it is Nick and Amy Dunne's fifth wedding anniversary. Presents are being wrapped and reservations are being made when Nick's clever and beautiful wife disappears from their rented McMansion on the Mississippi River. Husband-of-the-Year Nick isn't doing himself any favors with cringe-worthy daydreams about the slope and",Hardcover,Fiction,June,419,Crown Publishers                          (first published May 24th 2012,4.05,Gone Girl,2012
Neil Gaiman,"Sussex, England. A middle-aged man returns to his childhood home to attend a funeral. Although the house he lived in is long gone, he is drawn to the farm at the end of the road, where, when he was seven, he encountered a most remarkable girl, Lettie Hempstock, and her mother and grandmother. He hasn't thought of Lettie in decades, and yet as he sits by the pond (a pond th",Hardcover,Fiction,June,181,William Morrow Books,3.99,The Ocean at the End of the Lane,2013
Suzanne Collins,<b>Sparks are igniting.<br/>Flames are spreading.<br/>And the Capitol wants revenge.</b>,Hardcover,Young Adult,September,391,Scholastic Press,4.29,Catching Fire,2009
John Green,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",Hardcover,Young Adult,January,313,Dutton Books,4.24,The Fault in Our Stars,2012
Stephen King,"Life can turn on a dime—or stumble into the extraordinary, as it does for Jake Epping, a high school English teacher in Lisbon Falls, Maine. While grading essays by his GED students, Jake reads a gruesome, enthralling piece penned by janitor Harry Dunning: fifty years ago, Harry somehow survived his father’s sledgehammer slaughter of his entire family. Jake is blown away..",Hardcover,Fiction,November,849,Scribner,4.30,11/22/63,2011
Sarah J. Maas,<i>The queen has returned.</i>,Hardcover,Fantasy,September,648,Bloomsbury USA Childrens,4.58,Queen of Shadows,2015
George R.R. Martin,"In the aftermath of a colossal battle, the future of the Seven Kingdoms hangs in the balance—beset by newly emerging threats from every direction. In the east, Daenerys Targaryen, the last scion of House Targaryen, rules with her three dragons as queen of a city built on dust and death. But Daenerys has thousands of enemies, and many have set out to find her. As they gathe",Hardcover,Fantasy,July,1016,Bantam,4.32,A Dance with Dragons,2011
Celeste Ng,"<p> <i>Everyone in Shaker Heights was talking about it that summer: how Isabelle, the last of the Richardson children, had finally gone around the bend and burned the house down. </i> </p>",Hardcover,Fiction,September,338,Penguin Press,4.13,Little Fires Everywhere,2017
Rainbow Rowell,<i>Two misfits.<br>One extraordinary love.<br/><br/>Eleanor</br></i>,Hardcover,Young Adult,February,328,St. Martin's Press,4.09,Eleanor & Park,2013
Colleen Hoover,Sometimes it is the one who loves you who hurts you the most.,Paperback,Romance,August,376,Atria Books,4.41,It Ends with Us,2016
Pierce Brown,"<i>""I live for the dream that my children will be born free,"" she says. ""That they will be what they like. That they will own the land their father gave them.""<br/><br/>""I live for you,"" I say sadly.<br/><br/>Eo kisses my cheek. ""Then you must live for more.""</i>",Hardcover,Science Fiction,January,382,Del Rey (Random House,4.27,Red Rising,2014
Sarah J. Maas,Looming war threatens all Feyre holds dear in the third volume of the #1 ,Paperback,Fantasy,May,699,Bloomsbury Childrens Books,4.50,A Court of Wings and Ruin,2017
Lisa Wingate,"THE BLOCKBUSTER HIT—A New York Times, USA Today, Wall Street Journal, and Publishers Weekly Bestseller",Hardcover,Historical,June,342,Ballantine Books,4.36,Before We Were Yours,2017
Jennifer Niven,<b><i>The Fault in Our Stars</i> meets <i>Eleanor and Park</i> in this exhilarating and heart-wrenching love story about a girl who learns to live from a boy who intends to die.<br/></b>,Hardcover,Young Adult,January,378,Knopf,4.18,All the Bright Places,2015
Helen Hoang,<b>A heartwarming and refreshing debut novel that proves one thing: there's not enough data in the world to predict what will make your heart tick.</b>,Paperback,Romance,June,317,Berkley                          (first published May 30th 2018,3.99,"The Kiss Quotient (The Kiss Quotient, #1)",2018
Colleen Hoover,"Quinn and Graham's perfect love is threatened by their imperfect marriage. The memories, mistakes, and secrets that they have built up over the years are now tearing them apart. The one thing that could save them might also be the very thing that pushes their marriage beyond the point of repair.",Hardcover,Romance,July,308,Atria Books,4.31,All Your Perfects,2018
Jasmine Guillory,<b>A groomsman and his last-minute guest are about to discover if a fake date can go the distance in a fun and flirty debut novel.</b>,Paperback,Romance,January,310,Berkley Books,3.51,The Wedding Date,2018
J.R. Ward,<b>New enemies rise and desire burns in the next thrilling novel of the #1 <i>New York Times </i>bestselling paranormal romance series the Black Dagger Brotherhood.</b>,Hardcover,Fantasy,April,454,Ballantine Books,4.28,The Thief,2018
E.L. James,E L James revisits the world of Fifty Shades with a deeper and darker take on the love story that has enthralled millions of readers around the globe.,Paperback,Romance,November,546,Vintage Books,4.11,Darker,2017
Laura Thalassa,"<i>They came to earth—Pestilence, War, Famine, Death—four horsemen riding their screaming steeds, racing to the corners of the world. Four horsemen with the power to destroy all of humanity. They came to earth, and they came to end us all. </i>",Paperback,Romance,September,381,CreateSpace                          (first published March 20th 2018,4.05,Pestilence,2018
Mariana Zapata,"If someone were to ask Jasmine Santos to describe the last few years of her life with a single word, it would definitely be a four-letter one. After seventeen years-and countless broken bones and broken promises-she knows her window to compete in figure skating is coming to a close. But when the offer of a lifetime comes in from an arrogant idiot she's spent the last decad",Paperback,Romance,February,522,Mariana Zapata,4.34,From Lukov with Love,2018
Christina Lauren,"<b>From subway to Broadway to happily ever after. Modern love in all its thrill, hilarity, and uncertainty has never been so compulsively readable as in New York Times bestselling author Christina Lauren’s romantic novel.</b>",Paperback,Romance,December,368,Gallery Books,3.91,Roomies,2017
Kristen Ashley,"When the new girl in town, Eliza “Izzy” Forrester decides to hit the local drinking hole, she’s not ready to meet the town’s good, solid guy. She’s definitely not prepared to engage in her very first hookup with him.",Paperback,Romance,December,358,CreateSpace Independent Publishing Platform,4.18,The Hookup,2017
Lisa Kleypas,<i>A woman who defies her time</i>,Hardcover,Romance,February,286,Avon,4.07,Hello Stranger,2018
Penelope Douglas,From ,Paperback,Romance,April,406,CreateSpace Independent Publishing Platform                          (first published April 15th 2018,4.16,Birthday Girl,2018
Vi Keeland,From ,Paperback,Romance,January,300,C. Scott Publishing Corp,4.25,"Sex, Not Love",2018
Alyssa Cole,<strong> <em>From acclaimed author Alyssa Cole comes the tale of a city Cinderella </em> </strong>,Mass Market Paperback,Romance,February,360,Avon,3.87,A Princess in Theory,2018
Ella Frank,"Relationships are complex. Love ever-changing. And when it comes to rules of the heart, they were made to be broken… That's what Robert Antonio Bianchi was telling himself, anyway. Otherwise, he really had no excuse for what-or who-he'd done. No excuse, except for his lonely heart, a pitcher of margaritas, four Bitter Bitches, and the apparent need to confess all his weakn",Paperback,Romance,March,296,CreateSpace Independent Publishing Platform,4.43,Robbie,2018
Sarah MacLean,<b>When Wicked Comes Calling...</b>,Hardcover,Romance,June,368,Avon,4.04,Wicked and the Wallflower,2018
Christina Lauren,"Hazel Camille Bradford knows she’s a lot to take—and frankly, most men aren’t up to the challenge. If her army of pets and thrill for the absurd don’t send them running, her lack of filter means she’ll say exactly the wrong thing in a delicate moment. Their loss. She’s a good soul in search of honest fun.",Paperback,Romance,September,309,Gallery Books,4.17,Josh and Hazel's Guide to Not Dating,2018
Penny Reid,"Everyone in Green Valley, Tennessee knows that the six bearded Winston brothers have been imbued with an unfair share of charm and charisma and are prone to mischief.",Paperback,Romance,July,422,EverAfter Romance,4.17,Dr. Strange Beard,2018
K.A. Tucker,"Calla Fletcher wasn't even two when her mother took her and fled the Alaskan wild, unable to handle the isolation of the extreme, rural lifestyle, leaving behind Calla’s father, Wren Fletcher, in the process. Calla never looked back, and at twenty-six, a busy life in Toronto is all she knows. But when Calla learns that Wren’s days may be numbered, she knows that it’s time",Paperback,Romance,August,388,Atria Books,4.51,The Simple Wild,2018
Penny Reid,"There are three things you need to know about Kat Tanner (aka Kathleen Tyson... and yes, she is *that* Kathleen Tyson): 1) She’s determined to make good decisions, 2) She must get married ASAP, and 3) She knows how to knit.",Paperback,Romance,March,510,EverAfter Romance,4.18,Marriage of Inconvenience,2018
Krista Ritchie,<b>His Bodyguard. His Love.</b>,Paperback,New Adult,April,429,Everafter Romance                          (first published March 13th 2018,4.36,Alphas Like Us,2018
V.E. Schwab,"Eli Ever and Victor Vale were only medical students when their mutual discovery that near-death experiences can, under the right conditions, manifest extraordinary abilities.",Hardcover,Fantasy,September,478,Tor Books,4.37,Vengeful,2018
Pierce Brown,"<i>They call him father, liberator, warlord, Reaper. But he feels a boy as he falls toward the pale blue planet, his armor red, his army vast, his heart heavy. It is the tenth year of war and the thirty-second of his life.</i>",Hardcover,Science Fiction,January,601,Del Rey Books,4.25,Iron Gold,2018
Christina Dalcher,"Set in an America where half the population has been silenced, ",Hardcover,Fiction,August,336,Berkley,3.66,Vox,2018
Sylvain Neuvel,"In her childhood, Rose Franklin accidentally discovered a giant metal hand buried beneath the ground outside Deadwood, South Dakota. As an adult, Dr. Rose Franklin led the team that uncovered the rest of the body parts which together form Themis: a powerful robot of mysterious alien origin. She, along with linguist Vincent, pilot Kara, and the unnamed Interviewer, protecte",Hardcover,Science Fiction,May,336,Del Rey Books,3.67,Only Human,2018
Leni Zumas,<strong>Five women. One question. What is a woman for?</strong>,Hardcover,Fiction,January,356,"Little, Brown and Company",3.71,Red Clocks,2018
Nnedi Okorafor,The concluding part of the highly-acclaimed science fiction trilogy that began with Nnedi Okorafor's Hugo- and Nebula Award-winning BINTI.,Paperback,Science Fiction,January,208,Tor.com,4.14,The Night Masquerade,2018
James S.A. Corey,The seventh novel in James S. A. Corey's New York Times bestselling Expanse series--now a major television series.,Hardcover,Science Fiction,December,560,Orbit,4.35,Persepolis Rising,2017
Martha Wells,"It has a dark past – one in which a number of humans were killed. A past that caused it to christen itself “Murderbot”. But it has only vague memories of the massacre that spawned that title, and it wants to know more.",Hardcover,Science Fiction,May,158,Tor.com / Tom Doherty Associates,4.30,Artificial Condition,2018
Charles Soule,"From bestselling comic-book franchise writer Charles Soule comes a clever and witty first novel of a twentysomething New Yorker who wakes up one morning with the power to predict the future—perfect for fans of Joe Hill and Brad Meltzer, or books like ",Hardcover,Science Fiction,April,402,Harper Perennial,3.71,The Oracle Year,2018
John Scalzi,John Scalzi returns with ,Hardcover,Science Fiction,April,335,Tor Books,4.02,Head On,2018
Becky Chambers,"Return to the sprawling universe of the Galactic Commons, as humans, artificial intelligence, aliens, and some beings yet undiscovered explore what it means to be a community in this exciting third adventure in the acclaimed and multi-award-nominated science fiction Wayfarers series, brimming with heartwarming characters and dazzling space adventure.",Paperback,Science Fiction,July,368,Harper Voyager,4.20,Record of a Spaceborn Few,2018
Timothy Zahn,<b>Grand Admiral Thrawn and Darth Vader team up against a threat to the Empire in this thrilling novel from bestselling author Timothy Zahn.</b>,Hardcover,Media Tie In,July,368,Del Rey,3.95,Alliances,2018
Ling  Ma,An offbeat office novel turns apocalyptic satire as a young woman transforms from orphan to worker bee to survivor,Hardcover,Fiction,August,304,"Farrar, Straus and Giroux",3.91,Severance,2018
Mary Robinette Kowal,"On a cold spring night in 1952, a huge meteorite fell to earth and obliterated much of the east coast of the United States, including Washington D.C. The ensuing climate cataclysm will soon render the earth inhospitable for humanity, as the last such meteorite did for the dinosaurs. This looming threat calls for a radically accelerated effort to colonize space, and require",Paperback,Science Fiction,July,432,Tor Books,4.25,The Calculating Stars,2018
Tade Thompson,"<b>Tade Thompson's <i>Rosewater</i> is the start of an award-winning, cutting edge trilogy set in Nigeria, by one of science fiction's most engaging new voices.</b>",Paperback,Science Fiction,September,432,Orbit                          (first published November 15th 2016,3.89,Rosewater,2016
Liu Cixin,<b>A new standalone military SF adventure from the bestselling and award-winning author of <i>The Three-Body Problem</i></b>,Hardcover,Science Fiction,August,384,Tor Books                          (first published 2005,3.89,Ball Lightning,2005
Catherynne M. Valente,<i>The Hitchhiker’s Guide to the Galaxy</i>,Hardcover,Science Fiction,April,294,Saga Press,3.58,Space Opera,2018
Tom Sweterlitsch,<b> <i>Inception meets True Detective in this science-fiction thriller of spellbinding tension and staggering scope. The Gone World follows a special agent into a savage murder case with grave implications for the fate of mankind. </i> </b>,Hardcover,Science Fiction,February,383,G.P. Putnam's Sons,3.95,The Gone World,2018
Yoon Ha Lee,"Machineries Of Empire, the most exciting science fiction trilogy of the decade, reaches its astonishing conclusion!",Paperback,Science Fiction,June,427,Solaris,4.23,Revenant Gun,2018
John Scalzi,<b> <i>The Consuming Fire</i> </b>,Hardcover,Science Fiction,October,320,Tor Books,4.25,The Consuming Fire,2018
Stephen King,"<b>The latest from legendary master storyteller Stephen King, a riveting, extraordinarily eerie, and moving story about a man whose mysterious affliction brings a small town together—a timely, upbeat tale about finding common ground despite deep-rooted differences.</b>",Hardcover,Fiction,October,146,Scribner,3.75,Elevation,2018
Zoje Stage,<b> <i>Sweetness can be deceptive. </i> </b>,Hardcover,Fiction,July,304,St Martin's Press,3.68,Baby Teeth,2018
Dacre Stoker,"<b>The prequel to <i>Dracula</i>, inspired by notes and texts left behind by the author of the classic novel, <i>Dracul </i>is a supernatural thriller that reveals not only Dracula's true origins but Bram Stoker's--and the tale of the enigmatic woman who connects them.</b>",Hardcover,Horror,October,497,G.P. Putnam's Sons,4.04,Dracul,2018
